"dgp","idx_d","d","truth_seed","row","col","A_base"
"dgp1",2,10,20270002,6,8,0
"dgp1",2,10,20270002,7,8,0.426347938361315
"dgp1",2,10,20270002,8,8,0.426347938361315
"dgp1",2,10,20270002,9,8,0
"dgp1",2,10,20270002,10,8,0
"dgp1",2,10,20270002,1,9,0
"dgp1",2,10,20270002,2,9,0
"dgp1",2,10,20270002,3,9,0
"dgp1",2,10,20270002,4,9,0
"dgp1",2,10,20270002,5,9,0
"dgp1",2,10,20270002,6,9,0
"dgp1",2,10,20270002,7,9,0
"dgp1",2,10,20270002,8,9,0
"dgp1",2,10,20270002,9,9,0.426347938361315
"dgp1",2,10,20270002,10,9,0
"dgp1",2,10,20270002,1,10,0
"dgp1",2,10,20270002,2,10,0
"dgp1",2,10,20270002,3,10,0
"dgp1",2,10,20270002,4,10,0.426347938361315
"dgp1",2,10,20270002,5,10,0
"dgp1",2,10,20270002,6,10,0
"dgp1",2,10,20270002,7,10,0
"dgp1",2,10,20270002,8,10,0
"dgp1",2,10,20270002,9,10,0
"dgp1",2,10,20270002,10,10,0.426347938361315
"dgp1",3,15,20270003,1,1,0.309776343995853
"dgp1",3,15,20270003,2,1,0
"dgp1",3,15,20270003,3,1,0
"dgp1",3,15,20270003,4,1,0
"dgp1",3,15,20270003,5,1,0
"dgp1",3,15,20270003,6,1,0.309776343995853
"dgp1",3,15,20270003,7,1,0
"dgp1",3,15,20270003,8,1,0
"dgp1",3,15,20270003,9,1,0
"dgp1",3,15,20270003,10,1,0
"dgp1",3,15,20270003,11,1,0
"dgp1",3,15,20270003,12,1,0
"dgp1",3,15,20270003,13,1,0
"dgp1",3,15,20270003,14,1,0
"dgp1",3,15,20270003,15,1,0
"dgp1",3,15,20270003,1,2,0
"dgp1",3,15,20270003,2,2,0.309776343995853
"dgp1",3,15,20270003,3,2,0
"dgp1",3,15,20270003,4,2,0
"dgp1",3,15,20270003,5,2,0
"dgp1",3,15,20270003,6,2,0
"dgp1",3,15,20270003,7,2,0
"dgp1",3,15,20270003,8,2,0
"dgp1",3,15,20270003,9,2,0
"dgp1",3,15,20270003,10,2,0
"dgp1",3,15,20270003,11,2,0
"dgp1",3,15,20270003,12,2,0
"dgp1",3,15,20270003,13,2,0
"dgp1",3,15,20270003,14,2,0
"dgp1",3,15,20270003,15,2,0
"dgp1",3,15,20270003,1,3,0
"dgp1",3,15,20270003,2,3,0
"dgp1",3,15,20270003,3,3,0.309776343995853
"dgp1",3,15,20270003,4,3,0
"dgp1",3,15,20270003,5,3,0.309776343995853
"dgp1",3,15,20270003,6,3,0
"dgp1",3,15,20270003,7,3,0
"dgp1",3,15,20270003,8,3,0
"dgp1",3,15,20270003,9,3,0
"dgp1",3,15,20270003,10,3,0
"dgp1",3,15,20270003,11,3,0
"dgp1",3,15,20270003,12,3,0
"dgp1",3,15,20270003,13,3,0
"dgp1",3,15,20270003,14,3,0
"dgp1",3,15,20270003,15,3,0
"dgp1",3,15,20270003,1,4,0
"dgp1",3,15,20270003,2,4,0
"dgp1",3,15,20270003,3,4,0
"dgp1",3,15,20270003,4,4,0.309776343995853
"dgp1",3,15,20270003,5,4,0
"dgp1",3,15,20270003,6,4,0
"dgp1",3,15,20270003,7,4,0
"dgp1",3,15,20270003,8,4,0
"dgp1",3,15,20270003,9,4,0
"dgp1",3,15,20270003,10,4,0
"dgp1",3,15,20270003,11,4,0
"dgp1",3,15,20270003,12,4,0
"dgp1",3,15,20270003,13,4,0.309776343995853
"dgp1",3,15,20270003,14,4,0
"dgp1",3,15,20270003,15,4,0
"dgp1",3,15,20270003,1,5,0
"dgp1",3,15,20270003,2,5,0.309776343995853
"dgp1",3,15,20270003,3,5,0
"dgp1",3,15,20270003,4,5,0
