"rep","dgp","idx_d","d","idx_T","T_sample","snr","tuning","method","data_seed","truth_seed","signal_scale","frob","rmfe","hamming","F1","precision","recall","TP","FP","FN","TN","support_true","support_hat","off_hamming","off_F1","off_precision","off_recall","off_TP","off_FP","off_FN","off_TN","off_support_true","off_support_hat","lambda_lasso","lambda_adaptive","scaled_lambda0","base_lasso_support","base_adaptive_support","runtime_fit_seconds"
1,"dgp1",1,5,1,100,1,"cv","A-Ref",20361327,20270001,1.28310714768103,0.273181865549373,2.22553395102106,0.04,0.941176470588235,0.888888888888889,1,8,1,0,16,8,9,0.05,0.857142857142857,0.75,1,3,1,0,16,3,4,0.167939582842438,0.017264220418852,NA,13,9,0.25
1,"dgp1",1,5,1,100,1,"cv","A-Rlx",20361327,20270001,1.28310714768103,0.226219895390873,2.22067980168292,0.04,0.941176470588235,0.888888888888889,1,8,1,0,16,8,9,0.05,0.857142857142857,0.75,1,3,1,0,16,3,4,0.167939582842438,0.017264220418852,NA,13,9,0.25
1,"dgp1",1,5,1,100,1,"cv","A-Des",20361327,20270001,1.28310714768103,0.351670673061454,2.23888133142897,0.68,0.484848484848485,0.32,1,8,17,0,0,8,25,0.85,0.260869565217391,0.15,1,3,17,0,0,3,20,0.167939582842438,0.017264220418852,NA,13,9,0.25
1,"dgp1",1,5,1,100,1,"cv","ScL",20361327,20270001,1.28310714768103,0.25311702772236,2.2283156403574,0.04,0.941176470588235,0.888888888888889,1,8,1,0,16,8,9,0.05,0.857142857142857,0.75,1,3,1,0,16,3,4,0.167939582842438,NA,0.17941225779941,13,9,0.25
1,"dgp1",1,5,1,100,2,"theory","L",20361327,20270001,1.81458753022838,0.310393290350417,2.23671511999461,0.08,0.888888888888889,0.8,1,8,2,0,15,8,10,0.1,0.75,0.6,1,3,2,0,15,3,5,0.17941225779941,NA,NA,10,8,0.00999999999839929
1,"dgp1",1,5,1,100,2,"theory","L-Th",20361327,20270001,1.81458753022838,0.30018710752765,2.23715013778736,0,1,1,1,8,0,0,17,8,8,0,1,1,1,3,0,0,17,3,3,0.17941225779941,NA,NA,10,8,0.00999999999839929
1,"dgp1",1,5,1,100,2,"theory","L-Ref",20361327,20270001,1.81458753022838,0.300137976770186,2.21953910074261,0.08,0.888888888888889,0.8,1,8,2,0,15,8,10,0.1,0.75,0.6,1,3,2,0,15,3,5,0.17941225779941,NA,NA,10,8,0.00999999999839929
1,"dgp1",1,5,1,100,2,"theory","L-Rlx",20361327,20270001,1.81458753022838,0.236282318130077,2.21836963603935,0.08,0.888888888888889,0.8,1,8,2,0,15,8,10,0.1,0.75,0.6,1,3,2,0,15,3,5,0.17941225779941,NA,NA,10,8,0.00999999999839929
1,"dgp1",1,5,1,100,2,"theory","L-Des",20361327,20270001,1.81458753022838,0.351670673052034,2.23888133142794,0.68,0.484848484848485,0.32,1,8,17,0,0,8,25,0.85,0.260869565217391,0.15,1,3,17,0,0,3,20,0.17941225779941,NA,NA,10,8,0.00999999999839929
1,"dgp1",1,5,1,100,2,"theory","A",20361327,20270001,1.81458753022838,0.856523472315562,2.4037207702766,0,1,1,1,8,0,0,17,8,8,0,1,1,1,3,0,0,17,3,3,0.17941225779941,0.17941225779941,NA,10,8,0.00999999999839929
1,"dgp1",1,5,1,100,2,"theory","A-Th",20361327,20270001,1.81458753022838,0.856523472315562,2.4037207702766,0,1,1,1,8,0,0,17,8,8,0,1,1,1,3,0,0,17,3,3,0.17941225779941,0.17941225779941,NA,10,8,0.00999999999839929
1,"dgp1",1,5,1,100,2,"theory","A-Ref",20361327,20270001,1.81458753022838,0.203808526164473,2.21953308474825,0,1,1,1,8,0,0,17,8,8,0,1,1,1,3,0,0,17,3,3,0.17941225779941,0.17941225779941,NA,10,8,0.00999999999839929
1,"dgp1",1,5,1,100,2,"theory","A-Rlx",20361327,20270001,1.81458753022838,0.402614308904788,2.25744524819321,0,1,1,1,8,0,0,17,8,8,0,1,1,1,3,0,0,17,3,3,0.17941225779941,0.17941225779941,NA,10,8,0.00999999999839929
1,"dgp1",1,5,1,100,2,"theory","A-Des",20361327,20270001,1.81458753022838,0.351670673027254,2.23888133142529,0.68,0.484848484848485,0.32,1,8,17,0,0,8,25,0.85,0.260869565217391,0.15,1,3,17,0,0,3,20,0.17941225779941,0.17941225779941,NA,10,8,0.00999999999839929
1,"dgp1",1,5,1,100,2,"theory","ScL",20361327,20270001,1.81458753022838,0.253116934241968,2.22831562904925,0.04,0.941176470588235,0.888888888888889,1,8,1,0,16,8,9,0.05,0.857142857142857,0.75,1,3,1,0,16,3,4,0.17941225779941,NA,0.17941225779941,10,8,0.00999999999839929
1,"dgp1",1,5,1,100,2,"cv","L",20361327,20270001,1.81458753022838,0.259279175376617,2.22530437169659,0.2,0.761904761904762,0.615384615384615,1,8,5,0,12,8,13,0.25,0.545454545454545,0.375,1,3,5,0,12,3,8,0.1353586205948,NA,NA,13,9,0.220000000001164
1,"dgp1",1,5,1,100,2,"cv","L-Th",20361327,20270001,1.81458753022838,0.232886725040448,2.22660398604724,0,1,1,1,8,0,0,17,8,8,0,1,1,1,3,0,0,17,3,3,0.1353586205948,NA,NA,13,9,0.220000000001164
1,"dgp1",1,5,1,100,2,"cv","L-Ref",20361327,20270001,1.81458753022838,0.322035574959814,2.22919098798829,0.2,0.761904761904762,0.615384615384615,1,8,5,0,12,8,13,0.25,0.545454545454545,0.375,1,3,5,0,12,3,8,0.1353586205948,NA,NA,13,9,0.220000000001164
1,"dgp1",1,5,1,100,2,"cv","L-Rlx",20361327,20270001,1.81458753022838,0.247881860459452,2.22000077500939,0.2,0.761904761904762,0.615384615384615,1,8,5,0,12,8,13,0.25,0.545454545454545,0.375,1,3,5,0,12,3,8,0.1353586205948,NA,NA,13,9,0.220000000001164
1,"dgp1",1,5,1,100,2,"cv","L-Des",20361327,20270001,1.81458753022838,0.35167067305708,2.23888133142856,0.68,0.484848484848485,0.32,1,8,17,0,0,8,25,0.85,0.260869565217391,0.15,1,3,17,0,0,3,20,0.1353586205948,NA,NA,13,9,0.220000000001164
1,"dgp1",1,5,1,100,2,"cv","A",20361327,20270001,1.81458753022838,0.189173468290774,2.21802320615085,0.04,0.941176470588235,0.888888888888889,1,8,1,0,16,8,9,0.05,0.857142857142857,0.75,1,3,1,0,16,3,4,0.1353586205948,0.0150218044365612,NA,13,9,0.220000000001164
1,"dgp1",1,5,1,100,2,"cv","A-Th",20361327,20270001,1.81458753022838,0.189173468290774,2.21802320615085,0.04,0.941176470588235,0.888888888888889,1,8,1,0,16,8,9,0.05,0.857142857142857,0.75,1,3,1,0,16,3,4,0.1353586205948,0.0150218044365612,NA,13,9,0.220000000001164
1,"dgp1",1,5,1,100,2,"cv","A-Ref",20361327,20270001,1.81458753022838,0.273181865555872,2.2255339510214,0.04,0.941176470588235,0.888888888888889,1,8,1,0,16,8,9,0.05,0.857142857142857,0.75,1,3,1,0,16,3,4,0.1353586205948,0.0150218044365612,NA,13,9,0.220000000001164
1,"dgp1",1,5,1,100,2,"cv","A-Rlx",20361327,20270001,1.81458753022838,0.225364819492229,2.2205978563123,0.04,0.941176470588235,0.888888888888889,1,8,1,0,16,8,9,0.05,0.857142857142857,0.75,1,3,1,0,16,3,4,0.1353586205948,0.0150218044365612,NA,13,9,0.220000000001164
1,"dgp1",1,5,1,100,2,"cv","A-Des",20361327,20270001,1.81458753022838,0.351670673061379,2.23888133142895,0.68,0.484848484848485,0.32,1,8,17,0,0,8,25,0.85,0.260869565217391,0.15,1,3,17,0,0,3,20,0.1353586205948,0.0150218044365612,NA,13,9,0.220000000001164
1,"dgp1",1,5,1,100,2,"cv","ScL",20361327,20270001,1.81458753022838,0.253116934241967,2.22831562904925,0.04,0.941176470588235,0.888888888888889,1,8,1,0,16,8,9,0.05,0.857142857142857,0.75,1,3,1,0,16,3,4,0.1353586205948,NA,0.17941225779941,13,9,0.220000000001164
