"dgp","idx_d","idx_T","rep","d","T_sample","truth_seed","data_seed"
"dgp1",1,2,32,5,200,20270001,20362358
"dgp1",1,2,33,5,200,20270001,20362359
"dgp1",1,2,34,5,200,20270001,20362360
"dgp1",1,2,35,5,200,20270001,20362361
"dgp1",1,2,36,5,200,20270001,20362362
"dgp1",1,2,37,5,200,20270001,20362363
"dgp1",1,2,38,5,200,20270001,20362364
"dgp1",1,2,39,5,200,20270001,20362365
"dgp1",1,2,40,5,200,20270001,20362366
"dgp1",1,2,41,5,200,20270001,20362367
"dgp1",1,2,42,5,200,20270001,20362368
"dgp1",1,2,43,5,200,20270001,20362369
"dgp1",1,2,44,5,200,20270001,20362370
"dgp1",1,2,45,5,200,20270001,20362371
"dgp1",1,2,46,5,200,20270001,20362372
"dgp1",1,2,47,5,200,20270001,20362373
"dgp1",1,2,48,5,200,20270001,20362374
"dgp1",1,2,49,5,200,20270001,20362375
"dgp1",1,2,50,5,200,20270001,20362376
"dgp1",1,2,51,5,200,20270001,20362377
"dgp1",1,2,52,5,200,20270001,20362378
"dgp1",1,2,53,5,200,20270001,20362379
"dgp1",1,2,54,5,200,20270001,20362380
"dgp1",1,2,55,5,200,20270001,20362381
"dgp1",1,2,56,5,200,20270001,20362382
"dgp1",1,2,57,5,200,20270001,20362383
"dgp1",1,2,58,5,200,20270001,20362384
"dgp1",1,2,59,5,200,20270001,20362385
"dgp1",1,2,60,5,200,20270001,20362386
"dgp1",1,2,61,5,200,20270001,20362387
"dgp1",1,2,62,5,200,20270001,20362388
"dgp1",1,2,63,5,200,20270001,20362389
"dgp1",1,2,64,5,200,20270001,20362390
"dgp1",1,2,65,5,200,20270001,20362391
"dgp1",1,2,66,5,200,20270001,20362392
"dgp1",1,2,67,5,200,20270001,20362393
"dgp1",1,2,68,5,200,20270001,20362394
"dgp1",1,2,69,5,200,20270001,20362395
"dgp1",1,2,70,5,200,20270001,20362396
"dgp1",1,2,71,5,200,20270001,20362397
"dgp1",1,2,72,5,200,20270001,20362398
"dgp1",1,2,73,5,200,20270001,20362399
"dgp1",1,2,74,5,200,20270001,20362400
"dgp1",1,2,75,5,200,20270001,20362401
"dgp1",1,2,76,5,200,20270001,20362402
"dgp1",1,2,77,5,200,20270001,20362403
"dgp1",1,2,78,5,200,20270001,20362404
"dgp1",1,2,79,5,200,20270001,20362405
"dgp1",1,2,80,5,200,20270001,20362406
"dgp1",1,2,81,5,200,20270001,20362407
"dgp1",1,2,82,5,200,20270001,20362408
"dgp1",1,2,83,5,200,20270001,20362409
"dgp1",1,2,84,5,200,20270001,20362410
"dgp1",1,2,85,5,200,20270001,20362411
"dgp1",1,2,86,5,200,20270001,20362412
"dgp1",1,2,87,5,200,20270001,20362413
"dgp1",1,2,88,5,200,20270001,20362414
"dgp1",1,2,89,5,200,20270001,20362415
"dgp1",1,2,90,5,200,20270001,20362416
"dgp1",1,2,91,5,200,20270001,20362417
"dgp1",1,2,92,5,200,20270001,20362418
"dgp1",1,2,93,5,200,20270001,20362419
"dgp1",1,2,94,5,200,20270001,20362420
"dgp1",1,2,95,5,200,20270001,20362421
"dgp1",1,2,96,5,200,20270001,20362422
"dgp1",1,2,97,5,200,20270001,20362423
"dgp1",1,2,98,5,200,20270001,20362424
"dgp1",1,2,99,5,200,20270001,20362425
"dgp1",1,2,100,5,200,20270001,20362426
"dgp1",1,3,1,5,300,20270001,20363327
"dgp1",1,3,2,5,300,20270001,20363328
"dgp1",1,3,3,5,300,20270001,20363329
"dgp1",1,3,4,5,300,20270001,20363330
"dgp1",1,3,5,5,300,20270001,20363331
"dgp1",1,3,6,5,300,20270001,20363332
"dgp1",1,3,7,5,300,20270001,20363333
"dgp1",1,3,8,5,300,20270001,20363334
"dgp1",1,3,9,5,300,20270001,20363335
"dgp1",1,3,10,5,300,20270001,20363336
"dgp1",1,3,11,5,300,20270001,20363337
"dgp1",1,3,12,5,300,20270001,20363338
"dgp1",1,3,13,5,300,20270001,20363339
"dgp1",1,3,14,5,300,20270001,20363340
"dgp1",1,3,15,5,300,20270001,20363341
"dgp1",1,3,16,5,300,20270001,20363342
"dgp1",1,3,17,5,300,20270001,20363343
"dgp1",1,3,18,5,300,20270001,20363344
"dgp1",1,3,19,5,300,20270001,20363345
"dgp1",1,3,20,5,300,20270001,20363346
"dgp1",1,3,21,5,300,20270001,20363347
"dgp1",1,3,22,5,300,20270001,20363348
"dgp1",1,3,23,5,300,20270001,20363349
"dgp1",1,3,24,5,300,20270001,20363350
"dgp1",1,3,25,5,300,20270001,20363351
"dgp1",1,3,26,5,300,20270001,20363352
"dgp1",1,3,27,5,300,20270001,20363353
"dgp1",1,3,28,5,300,20270001,20363354
"dgp1",1,3,29,5,300,20270001,20363355
"dgp1",1,3,30,5,300,20270001,20363356
"dgp1",1,3,31,5,300,20270001,20363357
"dgp1",1,3,32,5,300,20270001,20363358
"dgp1",1,3,33,5,300,20270001,20363359
"dgp1",1,3,34,5,300,20270001,20363360
"dgp1",1,3,35,5,300,20270001,20363361
"dgp1",1,3,36,5,300,20270001,20363362
"dgp1",1,3,37,5,300,20270001,20363363
"dgp1",1,3,38,5,300,20270001,20363364
"dgp1",1,3,39,5,300,20270001,20363365
"dgp1",1,3,40,5,300,20270001,20363366
"dgp1",1,3,41,5,300,20270001,20363367
"dgp1",1,3,42,5,300,20270001,20363368
"dgp1",1,3,43,5,300,20270001,20363369
"dgp1",1,3,44,5,300,20270001,20363370
"dgp1",1,3,45,5,300,20270001,20363371
"dgp1",1,3,46,5,300,20270001,20363372
"dgp1",1,3,47,5,300,20270001,20363373
"dgp1",1,3,48,5,300,20270001,20363374
"dgp1",1,3,49,5,300,20270001,20363375
"dgp1",1,3,50,5,300,20270001,20363376
"dgp1",1,3,51,5,300,20270001,20363377
"dgp1",1,3,52,5,300,20270001,20363378
"dgp1",1,3,53,5,300,20270001,20363379
"dgp1",1,3,54,5,300,20270001,20363380
"dgp1",1,3,55,5,300,20270001,20363381
"dgp1",1,3,56,5,300,20270001,20363382
"dgp1",1,3,57,5,300,20270001,20363383
"dgp1",1,3,58,5,300,20270001,20363384
"dgp1",1,3,59,5,300,20270001,20363385
"dgp1",1,3,60,5,300,20270001,20363386
"dgp1",1,3,61,5,300,20270001,20363387
"dgp1",1,3,62,5,300,20270001,20363388
"dgp1",1,3,63,5,300,20270001,20363389
"dgp1",1,3,64,5,300,20270001,20363390
"dgp1",1,3,65,5,300,20270001,20363391
"dgp1",1,3,66,5,300,20270001,20363392
"dgp1",1,3,67,5,300,20270001,20363393
"dgp1",1,3,68,5,300,20270001,20363394
"dgp1",1,3,69,5,300,20270001,20363395
"dgp1",1,3,70,5,300,20270001,20363396
"dgp1",1,3,71,5,300,20270001,20363397
"dgp1",1,3,72,5,300,20270001,20363398
"dgp1",1,3,73,5,300,20270001,20363399
"dgp1",1,3,74,5,300,20270001,20363400
"dgp1",1,3,75,5,300,20270001,20363401
"dgp1",1,3,76,5,300,20270001,20363402
"dgp1",1,3,77,5,300,20270001,20363403
"dgp1",1,3,78,5,300,20270001,20363404
"dgp1",1,3,79,5,300,20270001,20363405
"dgp1",1,3,80,5,300,20270001,20363406
"dgp1",1,3,81,5,300,20270001,20363407
"dgp1",1,3,82,5,300,20270001,20363408
"dgp1",1,3,83,5,300,20270001,20363409
"dgp1",1,3,84,5,300,20270001,20363410
"dgp1",1,3,85,5,300,20270001,20363411
"dgp1",1,3,86,5,300,20270001,20363412
"dgp1",1,3,87,5,300,20270001,20363413
"dgp1",1,3,88,5,300,20270001,20363414
"dgp1",1,3,89,5,300,20270001,20363415
"dgp1",1,3,90,5,300,20270001,20363416
"dgp1",1,3,91,5,300,20270001,20363417
"dgp1",1,3,92,5,300,20270001,20363418
"dgp1",1,3,93,5,300,20270001,20363419
"dgp1",1,3,94,5,300,20270001,20363420
"dgp1",1,3,95,5,300,20270001,20363421
"dgp1",1,3,96,5,300,20270001,20363422
"dgp1",1,3,97,5,300,20270001,20363423
"dgp1",1,3,98,5,300,20270001,20363424
"dgp1",1,3,99,5,300,20270001,20363425
"dgp1",1,3,100,5,300,20270001,20363426
"dgp1",1,4,1,5,500,20270001,20364327
"dgp1",1,4,2,5,500,20270001,20364328
"dgp1",1,4,3,5,500,20270001,20364329
"dgp1",1,4,4,5,500,20270001,20364330
"dgp1",1,4,5,5,500,20270001,20364331
"dgp1",1,4,6,5,500,20270001,20364332
"dgp1",1,4,7,5,500,20270001,20364333
"dgp1",1,4,8,5,500,20270001,20364334
"dgp1",1,4,9,5,500,20270001,20364335
"dgp1",1,4,10,5,500,20270001,20364336
"dgp1",1,4,11,5,500,20270001,20364337
"dgp1",1,4,12,5,500,20270001,20364338
"dgp1",1,4,13,5,500,20270001,20364339
"dgp1",1,4,14,5,500,20270001,20364340
"dgp1",1,4,15,5,500,20270001,20364341
"dgp1",1,4,16,5,500,20270001,20364342
"dgp1",1,4,17,5,500,20270001,20364343
"dgp1",1,4,18,5,500,20270001,20364344
"dgp1",1,4,19,5,500,20270001,20364345
"dgp1",1,4,20,5,500,20270001,20364346
"dgp1",1,4,21,5,500,20270001,20364347
"dgp1",1,4,22,5,500,20270001,20364348
"dgp1",1,4,23,5,500,20270001,20364349
"dgp1",1,4,24,5,500,20270001,20364350
"dgp1",1,4,25,5,500,20270001,20364351
"dgp1",1,4,26,5,500,20270001,20364352
"dgp1",1,4,27,5,500,20270001,20364353
"dgp1",1,4,28,5,500,20270001,20364354
"dgp1",1,4,29,5,500,20270001,20364355
"dgp1",1,4,30,5,500,20270001,20364356
"dgp1",1,4,31,5,500,20270001,20364357
"dgp1",1,4,32,5,500,20270001,20364358
"dgp1",1,4,33,5,500,20270001,20364359
"dgp1",1,4,34,5,500,20270001,20364360
"dgp1",1,4,35,5,500,20270001,20364361
"dgp1",1,4,36,5,500,20270001,20364362
"dgp1",1,4,37,5,500,20270001,20364363
"dgp1",1,4,38,5,500,20270001,20364364
"dgp1",1,4,39,5,500,20270001,20364365
"dgp1",1,4,40,5,500,20270001,20364366
"dgp1",1,4,41,5,500,20270001,20364367
"dgp1",1,4,42,5,500,20270001,20364368
"dgp1",1,4,43,5,500,20270001,20364369
"dgp1",1,4,44,5,500,20270001,20364370
"dgp1",1,4,45,5,500,20270001,20364371
"dgp1",1,4,46,5,500,20270001,20364372
"dgp1",1,4,47,5,500,20270001,20364373
"dgp1",1,4,48,5,500,20270001,20364374
"dgp1",1,4,49,5,500,20270001,20364375
"dgp1",1,4,50,5,500,20270001,20364376
"dgp1",1,4,51,5,500,20270001,20364377
"dgp1",1,4,52,5,500,20270001,20364378
"dgp1",1,4,53,5,500,20270001,20364379
"dgp1",1,4,54,5,500,20270001,20364380
"dgp1",1,4,55,5,500,20270001,20364381
"dgp1",1,4,56,5,500,20270001,20364382
"dgp1",1,4,57,5,500,20270001,20364383
"dgp1",1,4,58,5,500,20270001,20364384
"dgp1",1,4,59,5,500,20270001,20364385
"dgp1",1,4,60,5,500,20270001,20364386
"dgp1",1,4,61,5,500,20270001,20364387
"dgp1",1,4,62,5,500,20270001,20364388
"dgp1",1,4,63,5,500,20270001,20364389
"dgp1",1,4,64,5,500,20270001,20364390
"dgp1",1,4,65,5,500,20270001,20364391
"dgp1",1,4,66,5,500,20270001,20364392
"dgp1",1,4,67,5,500,20270001,20364393
"dgp1",1,4,68,5,500,20270001,20364394
"dgp1",1,4,69,5,500,20270001,20364395
"dgp1",1,4,70,5,500,20270001,20364396
"dgp1",1,4,71,5,500,20270001,20364397
"dgp1",1,4,72,5,500,20270001,20364398
"dgp1",1,4,73,5,500,20270001,20364399
"dgp1",1,4,74,5,500,20270001,20364400
"dgp1",1,4,75,5,500,20270001,20364401
"dgp1",1,4,76,5,500,20270001,20364402
"dgp1",1,4,77,5,500,20270001,20364403
"dgp1",1,4,78,5,500,20270001,20364404
"dgp1",1,4,79,5,500,20270001,20364405
