"tuning","d","method","n_cells","avg_rank_frob","n_ranked_frob","avg_rank_rmfe","n_ranked_rmfe","avg_rank_hamming","n_ranked_hamming","avg_rank_F1","n_ranked_F1","avg_rank_off_hamming","n_ranked_off_hamming","avg_rank_off_F1","n_ranked_off_F1"
"theory",15,"L-Rlx",18,1.72222222222222,18,1.61111111111111,18,5.66666666666667,18,4.66666666666667,18,5.66666666666667,18,4.33333333333333,18
"theory",15,"L-Des",18,6.77777777777778,18,6.36111111111111,18,10.5,18,9.16666666666667,18,10.5,18,7.77777777777778,18
"theory",15,"A",18,9.36111111111111,18,9.52777777777778,18,5.44444444444444,18,6.52777777777778,18,5.44444444444444,18,7.25,18
"theory",15,"A-Th",18,10.4166666666667,18,10.5833333333333,18,7,18,8.5,18,7,18,9.55555555555556,18
"theory",15,"A-Ref",18,7.88888888888889,18,7.61111111111111,18,5.44444444444444,18,6.52777777777778,18,5.44444444444444,18,7.25,18
"theory",15,"A-Rlx",18,8,18,8.16666666666667,18,5.44444444444444,18,6.52777777777778,18,5.44444444444444,18,7.25,18
"theory",15,"A-Des",18,7,18,6.30555555555556,18,10.5,18,9.16666666666667,18,10.5,18,7.77777777777778,18
"theory",15,"ScL",18,4.77777777777778,18,4.88888888888889,18,2.19444444444444,18,2.27777777777778,18,2.19444444444444,18,2.55555555555556,18
"theory",20,"L",18,2.22222222222222,18,2.05555555555556,18,5.55555555555556,18,3.83333333333333,18,5.55555555555556,18,3.88888888888889,18
"theory",20,"L-Th",18,4.44444444444444,18,5.5,18,2.61111111111111,18,3.88888888888889,18,2.61111111111111,18,4.11111111111111,18
"theory",20,"L-Ref",18,3.72222222222222,18,3.33333333333333,18,5.55555555555556,18,3.83333333333333,18,5.55555555555556,18,3.88888888888889,18
"theory",20,"L-Rlx",18,1.44444444444444,18,1.27777777777778,18,5.55555555555556,18,3.83333333333333,18,5.55555555555556,18,3.88888888888889,18
"theory",20,"L-Des",18,7.19444444444444,18,6.72222222222222,18,10.5,18,8.88888888888889,18,10.5,18,6.72222222222222,18
"theory",20,"A",18,8.97222222222222,18,9.16666666666667,18,5.63888888888889,18,7.30555555555556,18,5.63888888888889,18,8.19444444444444,18
"theory",20,"A-Th",18,9.97222222222222,18,10.1111111111111,18,6.97222222222222,18,8.80555555555556,18,6.97222222222222,18,9.91666666666667,18
"theory",20,"A-Ref",18,9,18,8.61111111111111,18,5.63888888888889,18,7.30555555555556,18,5.63888888888889,18,8.19444444444444,18
"theory",20,"A-Rlx",18,7.83333333333333,18,7.77777777777778,18,5.63888888888889,18,7.30555555555556,18,5.63888888888889,18,8.19444444444444,18
"theory",20,"A-Des",18,6.80555555555556,18,6.72222222222222,18,10.5,18,8.88888888888889,18,10.5,18,6.72222222222222,18
"theory",20,"ScL",18,4.38888888888889,18,4.72222222222222,18,1.83333333333333,18,2.11111111111111,18,1.83333333333333,18,2.27777777777778,18
"theory",25,"L",18,1.77777777777778,18,2.05555555555556,18,6.22222222222222,18,3.55555555555556,18,6.22222222222222,18,3.44444444444444,18
"theory",25,"L-Th",18,4.38888888888889,18,5.16666666666667,18,2.83333333333333,18,4.55555555555556,18,2.83333333333333,18,4.77777777777778,18
"theory",25,"L-Ref",18,4.38888888888889,18,4.05555555555556,18,6.22222222222222,18,3.55555555555556,18,6.22222222222222,18,3.44444444444444,18
"theory",25,"L-Rlx",18,2,18,1.44444444444444,18,6.22222222222222,18,3.55555555555556,18,6.22222222222222,18,3.44444444444444,18
"theory",25,"L-Des",18,7.83333333333333,18,7.13888888888889,18,10.5,18,8.61111111111111,18,10.5,18,6.61111111111111,18
"theory",25,"A",18,8.33333333333333,18,8.72222222222222,18,5.25,18,7.58333333333333,18,5.25,18,8.47222222222222,18
"theory",25,"A-Th",18,9.27777777777778,18,9.55555555555556,18,6.02777777777778,18,8.69444444444444,18,6.02777777777778,18,9.80555555555556,18
"theory",25,"A-Ref",18,8.61111111111111,18,8.72222222222222,18,5.25,18,7.58333333333333,18,5.25,18,8.47222222222222,18
"theory",25,"A-Rlx",18,7.55555555555556,18,7.66666666666667,18,5.25,18,7.58333333333333,18,5.25,18,8.47222222222222,18
"theory",25,"A-Des",18,7.72222222222222,18,6.97222222222222,18,10.5,18,8.61111111111111,18,10.5,18,6.61111111111111,18
"theory",25,"ScL",18,4.11111111111111,18,4.5,18,1.72222222222222,18,2.11111111111111,18,1.72222222222222,18,2.44444444444444,18
"theory",30,"L",18,1.88888888888889,18,1.77777777777778,18,6.11111111111111,18,3.66666666666667,18,6.11111111111111,18,3.55555555555556,18
"theory",30,"L-Th",18,4.11111111111111,18,5.72222222222222,18,3,18,4.66666666666667,18,3,18,5,18
"theory",30,"L-Ref",18,4.83333333333333,18,4.27777777777778,18,6.11111111111111,18,3.66666666666667,18,6.11111111111111,18,3.55555555555556,18
"theory",30,"L-Rlx",18,2.22222222222222,18,1.61111111111111,18,6.11111111111111,18,3.66666666666667,18,6.11111111111111,18,3.55555555555556,18
"theory",30,"L-Des",18,8.05555555555556,18,7.66666666666667,18,10.5,18,8.33333333333333,18,10.5,18,6.05555555555556,18
"theory",30,"A",18,8.25,18,8.69444444444444,18,5.27777777777778,18,7.61111111111111,18,5.27777777777778,18,8.61111111111111,18
"theory",30,"A-Th",18,8.91666666666667,18,9.30555555555556,18,5.94444444444444,18,8.61111111111111,18,5.94444444444444,18,9.83333333333333,18
"theory",30,"A-Ref",18,8.38888888888889,18,7.61111111111111,18,5.27777777777778,18,7.61111111111111,18,5.27777777777778,18,8.61111111111111,18
"theory",30,"A-Rlx",18,7.33333333333333,18,7.5,18,5.27777777777778,18,7.61111111111111,18,5.27777777777778,18,8.61111111111111,18
"theory",30,"A-Des",18,8.05555555555556,18,7.66666666666667,18,10.5,18,8.33333333333333,18,10.5,18,6.05555555555556,18
"theory",30,"ScL",18,3.94444444444444,18,4.16666666666667,18,1.88888888888889,18,2.22222222222222,18,1.88888888888889,18,2.55555555555556,18
"cv",5,"L",18,6.16666666666667,18,5.5,18,8,18,8,18,8,18,8,18
"cv",5,"L-Th",18,4.94444444444444,18,5.16666666666667,18,2.83333333333333,18,2.88888888888889,18,2.83333333333333,18,2.88888888888889,18
"cv",5,"L-Ref",18,8.11111111111111,18,7.72222222222222,18,8,18,8,18,8,18,8,18
"cv",5,"L-Rlx",18,5.77777777777778,18,5.66666666666667,18,8,18,8,18,8,18,8,18
"cv",5,"L-Des",18,9.91666666666667,18,9.38888888888889,18,10.5,18,10.5,18,10.5,18,10.5,18
"cv",5,"A",18,2.72222222222222,18,3.02777777777778,18,3.5,18,3.52777777777778,18,3.5,18,3.52777777777778,18
"cv",5,"A-Th",18,2.66666666666667,18,3.08333333333333,18,3.33333333333333,18,3.25,18,3.33333333333333,18,3.25,18
"cv",5,"A-Ref",18,4,18,4.16666666666667,18,3.5,18,3.52777777777778,18,3.5,18,3.52777777777778,18
"cv",5,"A-Rlx",18,1.72222222222222,18,2.83333333333333,18,3.5,18,3.52777777777778,18,3.5,18,3.52777777777778,18
"cv",5,"A-Des",18,9.75,18,9.38888888888889,18,10.5,18,10.5,18,10.5,18,10.5,18
"cv",5,"ScL",18,10.2222222222222,18,10.0555555555556,18,4.33333333333333,18,4.27777777777778,18,4.33333333333333,18,4.27777777777778,18
"cv",10,"L",18,4.77777777777778,18,5.16666666666667,18,8,18,7.88888888888889,18,8,18,7.83333333333333,18
"cv",10,"L-Th",18,5.44444444444444,18,5.88888888888889,18,2.38888888888889,18,2.75,18,2.38888888888889,18,2.86111111111111,18
"cv",10,"L-Ref",18,8.27777777777778,18,8.22222222222222,18,8,18,7.88888888888889,18,8,18,7.83333333333333,18
"cv",10,"L-Rlx",18,5.72222222222222,18,5.44444444444444,18,8,18,7.88888888888889,18,8,18,7.83333333333333,18
"cv",10,"L-Des",18,10.0555555555556,18,9.75,18,10.5,18,10.5,18,10.5,18,10.5,18
"cv",10,"A",18,2.22222222222222,18,2.13888888888889,18,3.86111111111111,18,3.86111111111111,18,3.86111111111111,18,3.83333333333333,18
"cv",10,"A-Th",18,2,18,2.41666666666667,18,3.61111111111111,18,3.41666666666667,18,3.61111111111111,18,3.38888888888889,18
"cv",10,"A-Ref",18,5.05555555555556,18,4.61111111111111,18,3.86111111111111,18,3.86111111111111,18,3.86111111111111,18,3.83333333333333,18
"cv",10,"A-Rlx",18,3,18,2.94444444444444,18,3.86111111111111,18,3.86111111111111,18,3.86111111111111,18,3.83333333333333,18
"cv",10,"A-Des",18,9.83333333333333,18,9.80555555555556,18,10.5,18,10.5,18,10.5,18,10.5,18
"cv",10,"ScL",18,9.61111111111111,18,9.61111111111111,18,3.41666666666667,18,3.58333333333333,18,3.41666666666667,18,3.75,18
"cv",15,"L",18,4.27777777777778,18,4.33333333333333,18,7.94444444444444,18,7.55555555555556,18,7.94444444444444,18,7.5,18
