"tuning","dgp","method","n_cells","avg_rank_frob","n_ranked_frob","avg_rank_rmfe","n_ranked_rmfe","avg_rank_hamming","n_ranked_hamming","avg_rank_F1","n_ranked_F1","avg_rank_off_hamming","n_ranked_off_hamming","avg_rank_off_F1","n_ranked_off_F1"
"theory","dgp1","L",36,2.13888888888889,36,2.13888888888889,36,8,36,5.97222222222222,36,8,36,5.61111111111111,36
"theory","dgp1","L-Th",36,2.72222222222222,36,3.11111111111111,36,1.86111111111111,36,2.52777777777778,36,1.86111111111111,36,2.83333333333333,36
"theory","dgp1","L-Ref",36,4.83333333333333,36,4.88888888888889,36,8,36,5.97222222222222,36,8,36,5.61111111111111,36
"theory","dgp1","L-Rlx",36,2.58333333333333,36,2.30555555555556,36,8,36,5.97222222222222,36,8,36,5.61111111111111,36
"theory","dgp1","L-Des",36,7.72222222222222,36,7.72222222222222,36,10.5,36,10.5,36,10.5,36,8.63888888888889,36
"theory","dgp1","A",36,9.5,36,9.58333333333333,36,3.69444444444444,36,4.97222222222222,36,3.69444444444444,36,5.91666666666667,36
"theory","dgp1","A-Th",36,10.3888888888889,36,10.4444444444444,36,5.02777777777778,36,6.72222222222222,36,5.02777777777778,36,8.22222222222222,36
"theory","dgp1","A-Ref",36,6.25,36,5.91666666666667,36,3.69444444444444,36,4.97222222222222,36,3.69444444444444,36,5.91666666666667,36
"theory","dgp1","A-Rlx",36,7.75,36,7.69444444444444,36,3.69444444444444,36,4.97222222222222,36,3.69444444444444,36,5.91666666666667,36
"theory","dgp1","A-Des",36,7.61111111111111,36,7.77777777777778,36,10.5,36,10.5,36,10.5,36,8.63888888888889,36
"theory","dgp1","ScL",36,4.5,36,4.41666666666667,36,3.02777777777778,36,2.91666666666667,36,3.02777777777778,36,3.08333333333333,36
"theory","dgp2","L",36,2.94444444444444,36,2.72222222222222,36,6.11111111111111,36,4.06944444444444,36,6.11111111111111,36,3.93055555555556,36
"theory","dgp2","L-Th",36,4.83333333333333,36,5.61111111111111,36,2.08333333333333,36,3.19444444444444,36,2.08333333333333,36,3.52777777777778,36
