"tuning","T_sample","method","n_cells","avg_rank_frob","n_ranked_frob","avg_rank_rmfe","n_ranked_rmfe","avg_rank_hamming","n_ranked_hamming","avg_rank_F1","n_ranked_F1","avg_rank_off_hamming","n_ranked_off_hamming","avg_rank_off_F1","n_ranked_off_F1"
"theory",200,"A-Des",18,7.66666666666667,18,7.13888888888889,18,10.5,18,8.66666666666667,18,10.5,18,6.66666666666667,18
"theory",200,"ScL",18,4.27777777777778,18,4.5,18,2,18,2.27777777777778,18,2,18,2.27777777777778,18
"theory",300,"L",18,2.33333333333333,18,2.5,18,5.58333333333333,18,3.94444444444444,18,5.58333333333333,18,3.94444444444444,18
"theory",300,"L-Th",18,4.83333333333333,18,5.72222222222222,18,2.69444444444444,18,4.33333333333333,18,2.69444444444444,18,4.33333333333333,18
"theory",300,"L-Ref",18,3.38888888888889,18,3.11111111111111,18,5.58333333333333,18,3.94444444444444,18,5.58333333333333,18,3.94444444444444,18
"theory",300,"L-Rlx",18,1.55555555555556,18,1.33333333333333,18,5.58333333333333,18,3.94444444444444,18,5.58333333333333,18,3.94444444444444,18
"theory",300,"L-Des",18,6.52777777777778,18,5.86111111111111,18,10.5,18,9.05555555555556,18,10.5,18,7.05555555555556,18
"theory",300,"A",18,9.25,18,9.72222222222222,18,5.58333333333333,18,7,18,5.58333333333333,18,8,18
"theory",300,"A-Th",18,10.25,18,10.6666666666667,18,6.72222222222222,18,8.5,18,6.72222222222222,18,9.5,18
"theory",300,"A-Ref",18,8.33333333333333,18,8.05555555555556,18,5.58333333333333,18,7,18,5.58333333333333,18,8,18
"theory",300,"A-Rlx",18,8.11111111111111,18,8.16666666666667,18,5.58333333333333,18,7,18,5.58333333333333,18,8,18
"theory",300,"A-Des",18,6.69444444444444,18,5.91666666666667,18,10.5,18,9.05555555555556,18,10.5,18,7.05555555555556,18
"theory",300,"ScL",18,4.72222222222222,18,4.94444444444444,18,2.08333333333333,18,2.22222222222222,18,2.08333333333333,18,2.22222222222222,18
"theory",500,"L",18,2.61111111111111,18,2.66666666666667,18,5.72222222222222,18,4.55555555555556,18,5.72222222222222,18,4.5,18
"theory",500,"L-Th",18,4.77777777777778,18,5,18,2.58333333333333,18,2.97222222222222,18,2.58333333333333,18,2.97222222222222,18
"theory",500,"L-Ref",18,3,18,3.22222222222222,18,5.72222222222222,18,4.55555555555556,18,5.72222222222222,18,4.5,18
"theory",500,"L-Rlx",18,1.66666666666667,18,1.38888888888889,18,5.72222222222222,18,4.55555555555556,18,5.72222222222222,18,4.5,18
"theory",500,"L-Des",18,6.08333333333333,18,5.86111111111111,18,10.5,18,9.16666666666667,18,10.5,18,7.38888888888889,18
"theory",500,"A",18,9.91666666666667,18,9.86111111111111,18,5.36111111111111,18,6.77777777777778,18,5.36111111111111,18,7.66666666666667,18
