"dgp","idx_d","d","idx_T","T_sample","truth_seed","rho_true","support_true","support_true_offdiag"
"dgp3",4,20,1,100,20272004,0.879473463593731,171,151
"dgp3",4,20,2,200,20272004,0.879473463593731,171,151
"dgp3",4,20,3,300,20272004,0.879473463593731,171,151
"dgp3",4,20,4,500,20272004,0.879473463593731,171,151
"dgp3",4,20,5,1000,20272004,0.879473463593731,171,151
"dgp3",4,20,6,2000,20272004,0.879473463593731,171,151
"dgp3",5,25,1,100,20272005,0.877144556449609,261,236
"dgp3",5,25,2,200,20272005,0.877144556449609,261,236
"dgp3",5,25,3,300,20272005,0.877144556449609,261,236
"dgp3",5,25,4,500,20272005,0.877144556449609,261,236
"dgp3",5,25,5,1000,20272005,0.877144556449609,261,236
"dgp3",5,25,6,2000,20272005,0.877144556449609,261,236
"dgp3",6,30,1,100,20272006,0.879309550461635,396,366
"dgp3",6,30,2,200,20272006,0.879309550461635,396,366
"dgp3",6,30,3,300,20272006,0.879309550461635,396,366
"dgp3",6,30,4,500,20272006,0.879309550461635,396,366
"dgp3",6,30,5,1000,20272006,0.879309550461635,396,366
"dgp3",6,30,6,2000,20272006,0.879309550461635,396,366
