"snr","tuning","T_sample","method","n_cells","avg_rank_frob","avg_rank_rmfe","avg_rank_hamming","avg_rank_F1","avg_rank_off_hamming","avg_rank_off_F1"
1,"theory",100,"L",18,3,3.16666666666667,4.69444444444444,3.69444444444444,4.69444444444444,3.41666666666667
1,"theory",100,"L-Th",18,5.38888888888889,6.44444444444444,3.05555555555556,4.38888888888889,3.05555555555556,5.16666666666667
1,"theory",100,"L-Ref",18,2.83333333333333,2.77777777777778,4.69444444444444,3.69444444444444,4.69444444444444,3.41666666666667
1,"theory",100,"L-Rlx",18,1,1.05555555555556,4.69444444444444,3.69444444444444,4.69444444444444,3.41666666666667
1,"theory",100,"L-Des",18,7.33333333333333,6.77777777777778,10.5,8.94444444444444,10.5,7
1,"theory",100,"A",18,8.80555555555556,9.13888888888889,6.02777777777778,7.22222222222222,6.02777777777778,8.05555555555556
1,"theory",100,"A-Th",18,9.91666666666667,10.0833333333333,7.36111111111111,8.77777777777778,7.36111111111111,10.2777777777778
1,"theory",100,"A-Ref",18,9,8.55555555555556,6.02777777777778,7.22222222222222,6.02777777777778,8.05555555555556
1,"theory",100,"A-Rlx",18,8.05555555555556,7.77777777777778,6.02777777777778,7.22222222222222,6.02777777777778,8.05555555555556
1,"theory",100,"A-Des",18,6.44444444444444,5.88888888888889,10.5,8.94444444444444,10.5,7
1,"theory",100,"ScL",18,4.22222222222222,4.33333333333333,2.41666666666667,2.19444444444444,2.41666666666667,2.13888888888889
1,"theory",200,"L",18,3.55555555555556,3.83333333333333,4.94444444444444,4.19444444444444,4.94444444444444,4.05555555555556
1,"theory",200,"L-Th",18,5.27777777777778,5.22222222222222,2.72222222222222,3.66666666666667,2.72222222222222,3.66666666666667
1,"theory",200,"L-Ref",18,2.33333333333333,2.33333333333333,4.94444444444444,4.19444444444444,4.94444444444444,4.05555555555556
1,"theory",200,"L-Rlx",18,1.22222222222222,1.44444444444444,4.94444444444444,4.19444444444444,4.94444444444444,4.05555555555556
1,"theory",200,"L-Des",18,6.38888888888889,6.05555555555556,10.5,9,10.5,7.72222222222222
1,"theory",200,"A",18,9.66666666666667,9.88888888888889,5.77777777777778,6.97222222222222,5.77777777777778,7.61111111111111
1,"theory",200,"A-Th",18,10.7222222222222,10.7777777777778,7.69444444444444,8.52777777777778,7.69444444444444,9.58333333333333
1,"theory",200,"A-Ref",18,8.22222222222222,7.77777777777778,5.77777777777778,6.97222222222222,5.77777777777778,7.61111111111111
1,"theory",200,"A-Rlx",18,8.33333333333333,8.72222222222222,5.77777777777778,6.97222222222222,5.77777777777778,7.61111111111111
1,"theory",200,"A-Des",18,5.5,5.38888888888889,10.5,9,10.5,7.72222222222222
1,"theory",200,"ScL",18,4.77777777777778,4.55555555555556,2.41666666666667,2.30555555555556,2.41666666666667,2.30555555555556
1,"theory",300,"L",18,3.88888888888889,4.11111111111111,5.25,4.80555555555556,5.25,4.55555555555556
1,"theory",300,"L-Th",18,5.16666666666667,5.38888888888889,1.94444444444444,3,1.94444444444444,3.16666666666667
1,"theory",300,"L-Ref",18,2.16666666666667,2.11111111111111,5.25,4.80555555555556,5.25,4.55555555555556
1,"theory",300,"L-Rlx",18,1.44444444444444,1.5,5.25,4.80555555555556,5.25,4.55555555555556
1,"theory",300,"L-Des",18,6.16666666666667,5.66666666666667,10.5,9.61111111111111,10.5,8.16666666666667
1,"theory",300,"A",18,9.80555555555556,10.0555555555556,5.55555555555556,6.05555555555556,5.55555555555556,7
1,"theory",300,"A-Th",18,10.8055555555556,10.9444444444444,7.86111111111111,8.72222222222222,7.86111111111111,9.36111111111111
1,"theory",300,"A-Ref",18,7.5,7.27777777777778,5.55555555555556,6.05555555555556,5.55555555555556,7
1,"theory",300,"A-Rlx",18,8.61111111111111,8.66666666666667,5.55555555555556,6.05555555555556,5.55555555555556,7
1,"theory",300,"A-Des",18,5.38888888888889,5.22222222222222,10.5,9.61111111111111,10.5,8.16666666666667
1,"theory",300,"ScL",18,5.05555555555556,5.05555555555556,2.77777777777778,2.47222222222222,2.77777777777778,2.47222222222222
1,"theory",500,"L",18,4.05555555555556,4.22222222222222,5.75,5.38888888888889,5.75,5.33333333333333
1,"theory",500,"L-Th",18,4.66666666666667,4.61111111111111,1.72222222222222,1.88888888888889,1.72222222222222,1.88888888888889
1,"theory",500,"L-Ref",18,2.27777777777778,2.44444444444444,5.75,5.38888888888889,5.75,5.33333333333333
1,"theory",500,"L-Rlx",18,1.55555555555556,1.88888888888889,5.75,5.38888888888889,5.75,5.33333333333333
1,"theory",500,"L-Des",18,6.44444444444444,5.88888888888889,10.5,9.72222222222222,10.5,8.61111111111111
1,"theory",500,"A",18,9.94444444444444,10.1111111111111,5.27777777777778,5.88888888888889,5.27777777777778,6.44444444444444
1,"theory",500,"A-Th",18,10.8333333333333,10.8888888888889,7.16666666666667,7.88888888888889,7.16666666666667,8.61111111111111
1,"theory",500,"A-Ref",18,6.72222222222222,6.55555555555556,5.27777777777778,5.88888888888889,5.27777777777778,6.44444444444444
1,"theory",500,"A-Rlx",18,8.61111111111111,8.61111111111111,5.27777777777778,5.88888888888889,5.27777777777778,6.44444444444444
1,"theory",500,"A-Des",18,5.88888888888889,5.77777777777778,10.5,9.72222222222222,10.5,8.61111111111111
1,"theory",500,"ScL",18,5,5,3.02777777777778,2.94444444444444,3.02777777777778,2.94444444444444
1,"theory",1000,"L",18,4.44444444444444,4.22222222222222,6.88888888888889,5.91666666666667,6.88888888888889,5.91666666666667
1,"theory",1000,"L-Th",18,3.88888888888889,4.66666666666667,1.55555555555556,1.55555555555556,1.55555555555556,1.55555555555556
1,"theory",1000,"L-Ref",18,2.44444444444444,2.61111111111111,6.88888888888889,5.91666666666667,6.88888888888889,5.91666666666667
1,"theory",1000,"L-Rlx",18,1.44444444444444,1.44444444444444,6.88888888888889,5.91666666666667,6.88888888888889,5.91666666666667
1,"theory",1000,"L-Des",18,6.55555555555556,6.27777777777778,10.5,10,10.5,9.88888888888889
