"snr","tuning","d","method","n_cells","avg_rank_frob","avg_rank_rmfe","avg_rank_hamming","avg_rank_F1","avg_rank_off_hamming","avg_rank_off_F1"
1,"theory",5,"L",18,6,5.27777777777778,6.5,6.38888888888889,6.5,6.22222222222222
1,"theory",5,"L-Th",18,5,4.83333333333333,2.22222222222222,2.44444444444444,2.22222222222222,2.44444444444444
1,"theory",5,"L-Ref",18,2.61111111111111,2.83333333333333,6.5,6.38888888888889,6.5,6.22222222222222
1,"theory",5,"L-Rlx",18,1.61111111111111,2.55555555555556,6.5,6.38888888888889,6.5,6.22222222222222
1,"theory",5,"L-Des",18,5.66666666666667,5.77777777777778,10.5,9.88888888888889,10.5,9.5
1,"theory",5,"A",18,10.1666666666667,10.0555555555556,4.30555555555556,4.66666666666667,4.30555555555556,4.97222222222222
1,"theory",5,"A-Th",18,10.8333333333333,10.6111111111111,5.52777777777778,6,5.52777777777778,6.41666666666667
1,"theory",5,"A-Ref",18,5.05555555555556,5.94444444444444,4.30555555555556,4.66666666666667,4.30555555555556,4.97222222222222
1,"theory",5,"A-Rlx",18,8.83333333333333,8.16666666666667,4.30555555555556,4.66666666666667,4.30555555555556,4.97222222222222
1,"theory",5,"A-Des",18,5.55555555555556,5.44444444444444,10.5,9.88888888888889,10.5,9.5
1,"theory",5,"ScL",18,4.66666666666667,4.5,4.83333333333333,4.61111111111111,4.83333333333333,4.55555555555556
1,"theory",10,"L",18,4.11111111111111,3.94444444444444,6.08333333333333,5.83333333333333,6.08333333333333,5.66666666666667
1,"theory",10,"L-Th",18,4.44444444444444,5,2.19444444444444,2.25,2.19444444444444,2.63888888888889
1,"theory",10,"L-Ref",18,3.05555555555556,3,6.08333333333333,5.83333333333333,6.08333333333333,5.66666666666667
1,"theory",10,"L-Rlx",18,1.5,1.77777777777778,6.08333333333333,5.83333333333333,6.08333333333333,5.66666666666667
1,"theory",10,"L-Des",18,6.44444444444444,6.16666666666667,10.5,10,10.5,8.94444444444444
1,"theory",10,"A",18,10,10.0555555555556,4.77777777777778,5.25,4.77777777777778,5.69444444444444
1,"theory",10,"A-Th",18,10.8333333333333,10.8888888888889,6.41666666666667,6.83333333333333,6.41666666666667,7.72222222222222
1,"theory",10,"A-Ref",18,6.27777777777778,6.22222222222222,4.77777777777778,5.25,4.77777777777778,5.69444444444444
1,"theory",10,"A-Rlx",18,8.38888888888889,8.22222222222222,4.77777777777778,5.25,4.77777777777778,5.69444444444444
1,"theory",10,"A-Des",18,5.88888888888889,6.05555555555556,10.5,10,10.5,8.94444444444444
1,"theory",10,"ScL",18,5.05555555555556,4.66666666666667,3.80555555555556,3.66666666666667,3.80555555555556,3.66666666666667
1,"theory",15,"L",18,3.5,3.61111111111111,5.94444444444444,5.55555555555556,5.94444444444444,5.33333333333333
1,"theory",15,"L-Th",18,4.33333333333333,4.83333333333333,2.22222222222222,2.61111111111111,2.22222222222222,2.83333333333333
1,"theory",15,"L-Ref",18,2.88888888888889,2.77777777777778,5.94444444444444,5.55555555555556,5.94444444444444,5.33333333333333
1,"theory",15,"L-Rlx",18,1.44444444444444,1.38888888888889,5.94444444444444,5.55555555555556,5.94444444444444,5.33333333333333
1,"theory",15,"L-Des",18,7,6.55555555555556,10.5,9.94444444444444,10.5,8.72222222222222
1,"theory",15,"A",18,9.91666666666667,9.94444444444444,4.88888888888889,5.27777777777778,4.88888888888889,6
1,"theory",15,"A-Th",18,10.75,10.7222222222222,6.83333333333333,7.66666666666667,6.83333333333333,8.38888888888889
1,"theory",15,"A-Ref",18,6.22222222222222,6.27777777777778,4.88888888888889,5.27777777777778,4.88888888888889,6
1,"theory",15,"A-Rlx",18,8.27777777777778,8.5,4.88888888888889,5.27777777777778,4.88888888888889,6
1,"theory",15,"A-Des",18,6.22222222222222,6,10.5,9.94444444444444,10.5,8.72222222222222
1,"theory",15,"ScL",18,5.44444444444444,5.38888888888889,3.44444444444444,3.33333333333333,3.44444444444444,3.33333333333333
1,"theory",20,"L",18,3.5,3.83333333333333,5.55555555555556,4.77777777777778,5.55555555555556,4.77777777777778
1,"theory",20,"L-Th",18,4.88888888888889,5.38888888888889,2.22222222222222,2.83333333333333,2.22222222222222,2.94444444444444
1,"theory",20,"L-Ref",18,2,2.16666666666667,5.55555555555556,4.77777777777778,5.55555555555556,4.77777777777778
1,"theory",20,"L-Rlx",18,1.33333333333333,1.38888888888889,5.55555555555556,4.77777777777778,5.55555555555556,4.77777777777778
1,"theory",20,"L-Des",18,6.61111111111111,6.05555555555556,10.5,9.44444444444444,10.5,8.38888888888889
1,"theory",20,"A",18,9.61111111111111,9.91666666666667,5.33333333333333,6.27777777777778,5.33333333333333,6.72222222222222
