"snr","tuning","dgp","d","T_sample","method","rank_frob","rank_rmfe","rank_hamming","rank_F1","rank_off_hamming","rank_off_F1"
1,"theory","dgp1",10,200,"L-Th",2,2,1,1,1,1
1,"theory","dgp1",10,200,"L-Ref",5,5,8,8,8,8
1,"theory","dgp1",10,200,"L-Rlx",1,1,8,8,8,8
1,"theory","dgp1",10,200,"L-Des",8,7,10.5,10.5,10.5,10.5
1,"theory","dgp1",10,200,"A",10,10,3,3,3,3
1,"theory","dgp1",10,200,"A-Th",11,11,5,5,5,5
1,"theory","dgp1",10,200,"A-Ref",6,6,3,3,3,3
1,"theory","dgp1",10,200,"A-Rlx",9,9,3,3,3,3
1,"theory","dgp1",10,200,"A-Des",7,8,10.5,10.5,10.5,10.5
1,"theory","dgp1",10,200,"ScL",4,4,6,6,6,6
1,"theory","dgp1",10,300,"L",5,5,8,8,8,8
1,"theory","dgp1",10,300,"L-Th",3,4,2.5,2.5,2.5,2.5
1,"theory","dgp1",10,300,"L-Ref",6,3,8,8,8,8
1,"theory","dgp1",10,300,"L-Rlx",2,1,8,8,8,8
1,"theory","dgp1",10,300,"L-Des",9,8,10.5,10.5,10.5,10.5
1,"theory","dgp1",10,300,"A",10,10,2.5,2.5,2.5,2.5
1,"theory","dgp1",10,300,"A-Th",11,11,5,5,5,5
1,"theory","dgp1",10,300,"A-Ref",1,2,2.5,2.5,2.5,2.5
1,"theory","dgp1",10,300,"A-Rlx",7,7,2.5,2.5,2.5,2.5
1,"theory","dgp1",10,300,"A-Des",8,9,10.5,10.5,10.5,10.5
1,"theory","dgp1",10,300,"ScL",4,6,6,6,6,6
1,"theory","dgp1",10,500,"L",5,5,8,8,8,8
1,"theory","dgp1",10,500,"L-Th",3,3,3,3,3,3
1,"theory","dgp1",10,500,"L-Ref",6,6,8,8,8,8
1,"theory","dgp1",10,500,"L-Rlx",2,2,8,8,8,8
1,"theory","dgp1",10,500,"L-Des",9,8,10.5,10.5,10.5,10.5
1,"theory","dgp1",10,500,"A",10.5,10.5,3,3,3,3
1,"theory","dgp1",10,500,"A-Th",10.5,10.5,3,3,3,3
1,"theory","dgp1",10,500,"A-Ref",1,1,3,3,3,3
1,"theory","dgp1",10,500,"A-Rlx",7,7,3,3,3,3
1,"theory","dgp1",10,500,"A-Des",8,9,10.5,10.5,10.5,10.5
1,"theory","dgp1",10,500,"ScL",4,4,6,6,6,6
1,"theory","dgp1",10,1000,"L",5,3,8,8,8,8
1,"theory","dgp1",10,1000,"L-Th",3,4,3,3,3,3
1,"theory","dgp1",10,1000,"L-Ref",6,6,8,8,8,8
1,"theory","dgp1",10,1000,"L-Rlx",2,1,8,8,8,8
1,"theory","dgp1",10,1000,"L-Des",9,9,10.5,10.5,10.5,10.5
1,"theory","dgp1",10,1000,"A",10.5,10.5,3,3,3,3
1,"theory","dgp1",10,1000,"A-Th",10.5,10.5,3,3,3,3
1,"theory","dgp1",10,1000,"A-Ref",1,2,3,3,3,3
1,"theory","dgp1",10,1000,"A-Rlx",7,7,3,3,3,3
1,"theory","dgp1",10,1000,"A-Des",8,8,10.5,10.5,10.5,10.5
1,"theory","dgp1",10,1000,"ScL",4,5,6,6,6,6
1,"theory","dgp1",10,2000,"L",5,5,8,8,8,8
1,"theory","dgp1",10,2000,"L-Th",3,2,3,3,3,3
1,"theory","dgp1",10,2000,"L-Ref",6,7,8,8,8,8
1,"theory","dgp1",10,2000,"L-Rlx",2,6,8,8,8,8
1,"theory","dgp1",10,2000,"L-Des",9,8,10.5,10.5,10.5,10.5
1,"theory","dgp1",10,2000,"A",10.5,10.5,3,3,3,3
1,"theory","dgp1",10,2000,"A-Th",10.5,10.5,3,3,3,3
1,"theory","dgp1",10,2000,"A-Ref",1,1,3,3,3,3
1,"theory","dgp1",10,2000,"A-Rlx",7,3,3,3,3,3
1,"theory","dgp1",10,2000,"A-Des",8,9,10.5,10.5,10.5,10.5
1,"theory","dgp1",10,2000,"ScL",4,4,6,6,6,6
1,"theory","dgp1",15,100,"L",2,2,8,7,8,4
1,"theory","dgp1",15,100,"L-Th",4,5,1,1,1,1
1,"theory","dgp1",15,100,"L-Ref",3,3,8,7,8,4
1,"theory","dgp1",15,100,"L-Rlx",1,1,8,7,8,4
