"snr","tuning","dgp","d","T_sample","method","rank_frob","rank_rmfe","rank_hamming","rank_F1","rank_off_hamming","rank_off_F1"
1,"theory","dgp1",30,2000,"L",5,5,8,8,8,8
1,"theory","dgp1",30,2000,"L-Th",4,4,3,3,3,3
1,"theory","dgp1",30,2000,"L-Ref",3,3,8,8,8,8
1,"theory","dgp1",30,2000,"L-Rlx",2,2,8,8,8,8
1,"theory","dgp1",30,2000,"L-Des",8,8,10.5,10.5,10.5,10.5
1,"theory","dgp1",30,2000,"A",10,10,3,3,3,3
1,"theory","dgp1",30,2000,"A-Th",11,11,3,3,3,3
1,"theory","dgp1",30,2000,"A-Ref",1,1,3,3,3,3
1,"theory","dgp1",30,2000,"A-Rlx",9,9,3,3,3,3
1,"theory","dgp1",30,2000,"A-Des",7,7,10.5,10.5,10.5,10.5
1,"theory","dgp1",30,2000,"ScL",6,6,6,6,6,6
1,"theory","dgp2",5,100,"L",6,6,2.5,2.5,2.5,2.5
1,"theory","dgp2",5,100,"L-Th",7,7,5,7,5,7
1,"theory","dgp2",5,100,"L-Ref",2,1,2.5,2.5,2.5,2.5
1,"theory","dgp2",5,100,"L-Rlx",1,2,2.5,2.5,2.5,2.5
1,"theory","dgp2",5,100,"L-Des",4,4,10.5,5.5,10.5,5.5
1,"theory","dgp2",5,100,"A",10,9.5,7.5,9.5,7.5,9.5
1,"theory","dgp2",5,100,"A-Th",11,9.5,7.5,9.5,7.5,9.5
1,"theory","dgp2",5,100,"A-Ref",9,11,7.5,9.5,7.5,9.5
1,"theory","dgp2",5,100,"A-Rlx",8,8,7.5,9.5,7.5,9.5
1,"theory","dgp2",5,100,"A-Des",3,3,10.5,5.5,10.5,5.5
1,"theory","dgp2",5,100,"ScL",5,5,2.5,2.5,2.5,2.5
1,"theory","dgp2",5,200,"L",6,6,3,2.5,3,2.5
1,"theory","dgp2",5,200,"L-Th",7,7,3,5,3,5
1,"theory","dgp2",5,200,"L-Ref",1,1,3,2.5,3,2.5
1,"theory","dgp2",5,200,"L-Rlx",2,2,3,2.5,3,2.5
1,"theory","dgp2",5,200,"L-Des",4,4,10.5,6.5,10.5,6.5
1,"theory","dgp2",5,200,"A",10,10,7,9,7,9
1,"theory","dgp2",5,200,"A-Th",11,11,9,11,9,11
1,"theory","dgp2",5,200,"A-Ref",9,9,7,9,7,9
1,"theory","dgp2",5,200,"A-Rlx",8,8,7,9,7,9
1,"theory","dgp2",5,200,"A-Des",3,3,10.5,6.5,10.5,6.5
1,"theory","dgp2",5,200,"ScL",5,5,3,2.5,3,2.5
1,"theory","dgp2",5,300,"L",6,6,3.5,3.5,3.5,3.5
1,"theory","dgp2",5,300,"L-Th",7,7,1,1,1,1
1,"theory","dgp2",5,300,"L-Ref",1,1,3.5,3.5,3.5,3.5
1,"theory","dgp2",5,300,"L-Rlx",2,4,3.5,3.5,3.5,3.5
1,"theory","dgp2",5,300,"L-Des",4,2,10.5,9.5,10.5,6.5
1,"theory","dgp2",5,300,"A",10,10,7,7,7,9
1,"theory","dgp2",5,300,"A-Th",11,11,9,11,9,11
1,"theory","dgp2",5,300,"A-Ref",8,8,7,7,7,9
1,"theory","dgp2",5,300,"A-Rlx",9,9,7,7,7,9
1,"theory","dgp2",5,300,"A-Des",3,3,10.5,9.5,10.5,6.5
1,"theory","dgp2",5,300,"ScL",5,5,3.5,3.5,3.5,3.5
1,"theory","dgp2",5,500,"L",6,6,4,4,4,4
1,"theory","dgp2",5,500,"L-Th",7,5,1,1,1,1
1,"theory","dgp2",5,500,"L-Ref",1,1,4,4,4,4
1,"theory","dgp2",5,500,"L-Rlx",2,4,4,4,4,4
1,"theory","dgp2",5,500,"L-Des",3,3,10.5,9.5,10.5,6.5
1,"theory","dgp2",5,500,"A",10,10,7,7,7,9
1,"theory","dgp2",5,500,"A-Th",11,11,9,11,9,11
1,"theory","dgp2",5,500,"A-Ref",8,8,7,7,7,9
1,"theory","dgp2",5,500,"A-Rlx",9,9,7,7,7,9
1,"theory","dgp2",5,500,"A-Des",4,2,10.5,9.5,10.5,6.5
1,"theory","dgp2",5,500,"ScL",5,7,2,2,2,2
1,"theory","dgp2",5,1000,"L",7,6,5,3.5,5,3.5
1,"theory","dgp2",5,1000,"L-Th",6,7,1,1,1,1
1,"theory","dgp2",5,1000,"L-Ref",2,1,5,3.5,5,3.5
1,"theory","dgp2",5,1000,"L-Rlx",1,2,5,3.5,5,3.5
1,"theory","dgp2",5,1000,"L-Des",3,4,10.5,10.5,10.5,10.5
1,"theory","dgp2",5,1000,"A",10,10,5,7,5,7
1,"theory","dgp2",5,1000,"A-Th",11,11,9,9,9,9
1,"theory","dgp2",5,1000,"A-Ref",8,8,5,7,5,7
1,"theory","dgp2",5,1000,"A-Rlx",9,9,5,7,5,7
1,"theory","dgp2",5,1000,"A-Des",4,3,10.5,10.5,10.5,10.5
1,"theory","dgp2",5,1000,"ScL",5,5,5,3.5,5,3.5
1,"theory","dgp2",5,2000,"L",7,6,8,8,8,8
1,"theory","dgp2",5,2000,"L-Th",6,7,1,1,1,1
1,"theory","dgp2",5,2000,"L-Ref",2,3,8,8,8,8
1,"theory","dgp2",5,2000,"L-Rlx",1,4,8,8,8,8
1,"theory","dgp2",5,2000,"L-Des",4,2,10.5,10.5,10.5,10.5
1,"theory","dgp2",5,2000,"A",10,10,3.5,3.5,3.5,3.5
1,"theory","dgp2",5,2000,"A-Th",11,11,3.5,3.5,3.5,3.5
1,"theory","dgp2",5,2000,"A-Ref",8,8,3.5,3.5,3.5,3.5
1,"theory","dgp2",5,2000,"A-Rlx",9,9,3.5,3.5,3.5,3.5
1,"theory","dgp2",5,2000,"A-Des",3,1,10.5,10.5,10.5,10.5
1,"theory","dgp2",5,2000,"ScL",5,5,6,6,6,6
1,"theory","dgp2",10,100,"L",3,2,3,3,3,3
1,"theory","dgp2",10,100,"L-Th",7,7,5,5,5,7
1,"theory","dgp2",10,100,"L-Ref",2,4,3,3,3,3
1,"theory","dgp2",10,100,"L-Rlx",1,1,3,3,3,3
1,"theory","dgp2",10,100,"L-Des",6,6,10.5,10.5,10.5,5.5
1,"theory","dgp2",10,100,"A",8,9,7.5,7.5,7.5,9.5
1,"theory","dgp2",10,100,"A-Th",10,11,7.5,7.5,7.5,9.5
1,"theory","dgp2",10,100,"A-Ref",11,10,7.5,7.5,7.5,9.5
1,"theory","dgp2",10,100,"A-Rlx",9,8,7.5,7.5,7.5,9.5
1,"theory","dgp2",10,100,"A-Des",5,5,10.5,10.5,10.5,5.5
1,"theory","dgp2",10,100,"ScL",4,3,1,1,1,1
1,"theory","dgp2",10,200,"L",3,3,3,3,3,3
1,"theory","dgp2",10,200,"L-Th",7,7,5,5,5,5
1,"theory","dgp2",10,200,"L-Ref",2,2,3,3,3,3
1,"theory","dgp2",10,200,"L-Rlx",1,1,3,3,3,3
1,"theory","dgp2",10,200,"L-Des",6,6,10.5,10.5,10.5,6.5
1,"theory","dgp2",10,200,"A",10,10,7.5,7.5,7.5,9.5
1,"theory","dgp2",10,200,"A-Th",11,11,7.5,7.5,7.5,9.5
1,"theory","dgp2",10,200,"A-Ref",9,8,7.5,7.5,7.5,9.5
1,"theory","dgp2",10,200,"A-Rlx",8,9,7.5,7.5,7.5,9.5
1,"theory","dgp2",10,200,"A-Des",5,5,10.5,10.5,10.5,6.5
1,"theory","dgp2",10,200,"ScL",4,4,1,1,1,1
1,"theory","dgp2",10,300,"L",3,4,4,4,4,3
1,"theory","dgp2",10,300,"L-Th",7,7,1,2,1,5
1,"theory","dgp2",10,300,"L-Ref",2,2,4,4,4,3
1,"theory","dgp2",10,300,"L-Rlx",1,1,4,4,4,3
1,"theory","dgp2",10,300,"L-Des",6,6,10.5,10.5,10.5,6.5
1,"theory","dgp2",10,300,"A",10,10,7,7,7,9
1,"theory","dgp2",10,300,"A-Th",11,11,9,9,9,11
1,"theory","dgp2",10,300,"A-Ref",8,8,7,7,7,9
1,"theory","dgp2",10,300,"A-Rlx",9,9,7,7,7,9
1,"theory","dgp2",10,300,"A-Des",5,5,10.5,10.5,10.5,6.5
1,"theory","dgp2",10,300,"ScL",4,3,2,1,2,1
1,"theory","dgp2",10,500,"L",3,4,4,4,4,4
1,"theory","dgp2",10,500,"L-Th",7,7,1,1,1,1
1,"theory","dgp2",10,500,"L-Ref",2,1,4,4,4,4
1,"theory","dgp2",10,500,"L-Rlx",1,2,4,4,4,4
1,"theory","dgp2",10,500,"L-Des",6,5,10.5,10.5,10.5,6.5
1,"theory","dgp2",10,500,"A",10,10,7,7,7,9
1,"theory","dgp2",10,500,"A-Th",11,11,9,9,9,11
1,"theory","dgp2",10,500,"A-Ref",8,8,7,7,7,9
1,"theory","dgp2",10,500,"A-Rlx",9,9,7,7,7,9
1,"theory","dgp2",10,500,"A-Des",5,6,10.5,10.5,10.5,6.5
1,"theory","dgp2",10,500,"ScL",4,3,2,2,2,2
1,"theory","dgp2",10,1000,"L",4,3,7,4,7,4
1,"theory","dgp2",10,1000,"L-Th",3,5,1,1,1,1
1,"theory","dgp2",10,1000,"L-Ref",2,1,7,4,7,4
1,"theory","dgp2",10,1000,"L-Rlx",1,2,7,4,7,4
1,"theory","dgp2",10,1000,"L-Des",6,6,10.5,10.5,10.5,9.5
1,"theory","dgp2",10,1000,"A",10,10,4,7,4,7
1,"theory","dgp2",10,1000,"A-Th",11,11,9,9,9,11
1,"theory","dgp2",10,1000,"A-Ref",8,8,4,7,4,7
1,"theory","dgp2",10,1000,"A-Rlx",9,9,4,7,4,7
1,"theory","dgp2",10,1000,"A-Des",7,7,10.5,10.5,10.5,9.5
1,"theory","dgp2",10,1000,"ScL",5,4,2,2,2,2
1,"theory","dgp2",10,2000,"L",4,4,8,8,8,7
1,"theory","dgp2",10,2000,"L-Th",3,5,1,1,1,1
1,"theory","dgp2",10,2000,"L-Ref",2,2,8,8,8,7
1,"theory","dgp2",10,2000,"L-Rlx",1,1,8,8,8,7
1,"theory","dgp2",10,2000,"L-Des",6,6,10.5,10.5,10.5,10.5
1,"theory","dgp2",10,2000,"A",10,10,3,3,3,3
1,"theory","dgp2",10,2000,"A-Th",11,11,5.5,6,5.5,9
1,"theory","dgp2",10,2000,"A-Ref",8,8,3,3,3,3
1,"theory","dgp2",10,2000,"A-Rlx",9,9,3,3,3,3
1,"theory","dgp2",10,2000,"A-Des",7,7,10.5,10.5,10.5,10.5
1,"theory","dgp2",10,2000,"ScL",5,3,5.5,5,5.5,5
1,"theory","dgp2",15,100,"L",3,2,3,3,3,3
1,"theory","dgp2",15,100,"L-Th",5,5,5,5,5,7
1,"theory","dgp2",15,100,"L-Ref",4,4,3,3,3,3
1,"theory","dgp2",15,100,"L-Rlx",1,1,3,3,3,3
1,"theory","dgp2",15,100,"L-Des",11,11,10.5,10.5,10.5,5.5
1,"theory","dgp2",15,100,"A",8.5,7,7.5,7.5,7.5,9.5
1,"theory","dgp2",15,100,"A-Th",8.5,8,7.5,7.5,7.5,9.5
1,"theory","dgp2",15,100,"A-Ref",7,9,7.5,7.5,7.5,9.5
1,"theory","dgp2",15,100,"A-Rlx",6,6,7.5,7.5,7.5,9.5
1,"theory","dgp2",15,100,"A-Des",10,10,10.5,10.5,10.5,5.5
1,"theory","dgp2",15,100,"ScL",2,3,1,1,1,1
1,"theory","dgp2",15,200,"L",3,3,3,3,3,3
1,"theory","dgp2",15,200,"L-Th",7,7,5,5,5,5
1,"theory","dgp2",15,200,"L-Ref",2,2,3,3,3,3
1,"theory","dgp2",15,200,"L-Rlx",1,1,3,3,3,3
1,"theory","dgp2",15,200,"L-Des",6,6,10.5,10.5,10.5,6.5
1,"theory","dgp2",15,200,"A",10,10,7.5,7.5,7.5,9.5
1,"theory","dgp2",15,200,"A-Th",11,11,7.5,7.5,7.5,9.5
1,"theory","dgp2",15,200,"A-Ref",9,8,7.5,7.5,7.5,9.5
1,"theory","dgp2",15,200,"A-Rlx",8,9,7.5,7.5,7.5,9.5
1,"theory","dgp2",15,200,"A-Des",5,5,10.5,10.5,10.5,6.5
1,"theory","dgp2",15,200,"ScL",4,4,1,1,1,1
1,"theory","dgp2",15,300,"L",3,2,4,3,4,3
1,"theory","dgp2",15,300,"L-Th",7,7,1,5,1,5
1,"theory","dgp2",15,300,"L-Ref",2,3,4,3,4,3
1,"theory","dgp2",15,300,"L-Rlx",1,1,4,3,4,3
1,"theory","dgp2",15,300,"L-Des",6,6,10.5,10.5,10.5,6.5
1,"theory","dgp2",15,300,"A",10,10.5,7,7,7,9
1,"theory","dgp2",15,300,"A-Th",11,10.5,9,9,9,11
1,"theory","dgp2",15,300,"A-Ref",8,9,7,7,7,9
1,"theory","dgp2",15,300,"A-Rlx",9,8,7,7,7,9
1,"theory","dgp2",15,300,"A-Des",5,5,10.5,10.5,10.5,6.5
1,"theory","dgp2",15,300,"ScL",4,4,2,1,2,1
1,"theory","dgp2",15,500,"L",3,3,4,4,4,4
1,"theory","dgp2",15,500,"L-Th",5,5,1,1,1,1
1,"theory","dgp2",15,500,"L-Ref",2,2,4,4,4,4
1,"theory","dgp2",15,500,"L-Rlx",1,1,4,4,4,4
1,"theory","dgp2",15,500,"L-Des",7,6,10.5,10.5,10.5,6.5
1,"theory","dgp2",15,500,"A",10,10,7,7,7,9
1,"theory","dgp2",15,500,"A-Th",11,11,9,9,9,11
1,"theory","dgp2",15,500,"A-Ref",8,8,7,7,7,9
1,"theory","dgp2",15,500,"A-Rlx",9,9,7,7,7,9
1,"theory","dgp2",15,500,"A-Des",6,7,10.5,10.5,10.5,6.5
1,"theory","dgp2",15,500,"ScL",4,4,2,2,2,2
1,"theory","dgp2",15,1000,"L",4,4,7,4,7,4
1,"theory","dgp2",15,1000,"L-Th",3,3,1,1,1,1
1,"theory","dgp2",15,1000,"L-Ref",2,2,7,4,7,4
1,"theory","dgp2",15,1000,"L-Rlx",1,1,7,4,7,4
1,"theory","dgp2",15,1000,"L-Des",7,7,10.5,10.5,10.5,10.5
1,"theory","dgp2",15,1000,"A",10,10,4,7,4,7
1,"theory","dgp2",15,1000,"A-Th",11,11,9,9,9,9
1,"theory","dgp2",15,1000,"A-Ref",8,8,4,7,4,7
1,"theory","dgp2",15,1000,"A-Rlx",9,9,4,7,4,7
1,"theory","dgp2",15,1000,"A-Des",6,6,10.5,10.5,10.5,10.5
1,"theory","dgp2",15,1000,"ScL",5,5,2,2,2,2
1,"theory","dgp2",15,2000,"L",4,2,8,7,8,7
1,"theory","dgp2",15,2000,"L-Th",3,4,1,1,1,1
1,"theory","dgp2",15,2000,"L-Ref",2,3,8,7,8,7
1,"theory","dgp2",15,2000,"L-Rlx",1,1,8,7,8,7
1,"theory","dgp2",15,2000,"L-Des",7,7,10.5,10.5,10.5,10.5
1,"theory","dgp2",15,2000,"A",10,10,3,3,3,3
1,"theory","dgp2",15,2000,"A-Th",11,11,5,9,5,9
1,"theory","dgp2",15,2000,"A-Ref",8,8,3,3,3,3
1,"theory","dgp2",15,2000,"A-Rlx",9,9,3,3,3,3
1,"theory","dgp2",15,2000,"A-Des",6,6,10.5,10.5,10.5,10.5
1,"theory","dgp2",15,2000,"ScL",5,5,6,5,6,5
1,"theory","dgp2",20,100,"L",2,2,8,3,8,3
1,"theory","dgp2",20,100,"L-Th",5,9,2,5,2,7
1,"theory","dgp2",20,100,"L-Ref",4,4,8,3,8,3
1,"theory","dgp2",20,100,"L-Rlx",1,1,8,3,8,3
1,"theory","dgp2",20,100,"L-Des",11,11,10.5,10.5,10.5,5.5
1,"theory","dgp2",20,100,"A",6.5,7.5,4.5,7.5,4.5,9.5
1,"theory","dgp2",20,100,"A-Th",6.5,7.5,4.5,7.5,4.5,9.5
1,"theory","dgp2",20,100,"A-Ref",9,5,4.5,7.5,4.5,9.5
1,"theory","dgp2",20,100,"A-Rlx",8,6,4.5,7.5,4.5,9.5
1,"theory","dgp2",20,100,"A-Des",10,10,10.5,10.5,10.5,5.5
1,"theory","dgp2",20,100,"ScL",3,3,1,1,1,1
1,"theory","dgp2",20,200,"L",3,2,3,3,3,3
1,"theory","dgp2",20,200,"L-Th",7,7,5,5,5,5
1,"theory","dgp2",20,200,"L-Ref",2,4,3,3,3,3
1,"theory","dgp2",20,200,"L-Rlx",1,1,3,3,3,3
1,"theory","dgp2",20,200,"L-Des",6,6,10.5,10.5,10.5,6.5
1,"theory","dgp2",20,200,"A",10,10.5,7.5,7.5,7.5,9.5
1,"theory","dgp2",20,200,"A-Th",11,10.5,7.5,7.5,7.5,9.5
1,"theory","dgp2",20,200,"A-Ref",9,8,7.5,7.5,7.5,9.5
1,"theory","dgp2",20,200,"A-Rlx",8,9,7.5,7.5,7.5,9.5
1,"theory","dgp2",20,200,"A-Des",5,5,10.5,10.5,10.5,6.5
1,"theory","dgp2",20,200,"ScL",4,3,1,1,1,1
1,"theory","dgp2",20,300,"L",3,3,4,3,4,3
1,"theory","dgp2",20,300,"L-Th",7,7,1,5,1,5
1,"theory","dgp2",20,300,"L-Ref",2,2,4,3,4,3
1,"theory","dgp2",20,300,"L-Rlx",1,1,4,3,4,3
1,"theory","dgp2",20,300,"L-Des",6,6,10.5,10.5,10.5,6.5
1,"theory","dgp2",20,300,"A",10,10,7,7,7,9
1,"theory","dgp2",20,300,"A-Th",11,11,9,9,9,11
1,"theory","dgp2",20,300,"A-Ref",8,8,7,7,7,9
1,"theory","dgp2",20,300,"A-Rlx",9,9,7,7,7,9
1,"theory","dgp2",20,300,"A-Des",5,5,10.5,10.5,10.5,6.5
1,"theory","dgp2",20,300,"ScL",4,4,2,1,2,1
1,"theory","dgp2",20,500,"L",3,3,4,4,4,4
1,"theory","dgp2",20,500,"L-Th",5,5,1,1,1,1
1,"theory","dgp2",20,500,"L-Ref",2,2,4,4,4,4
1,"theory","dgp2",20,500,"L-Rlx",1,1,4,4,4,4
1,"theory","dgp2",20,500,"L-Des",7,6,10.5,10.5,10.5,6.5
1,"theory","dgp2",20,500,"A",10,10,7,7,7,9
1,"theory","dgp2",20,500,"A-Th",11,11,9,9,9,11
1,"theory","dgp2",20,500,"A-Ref",8,8,7,7,7,9
1,"theory","dgp2",20,500,"A-Rlx",9,9,7,7,7,9
1,"theory","dgp2",20,500,"A-Des",6,7,10.5,10.5,10.5,6.5
1,"theory","dgp2",20,500,"ScL",4,4,2,2,2,2
1,"theory","dgp2",20,1000,"L",3,3,7,4,7,4
1,"theory","dgp2",20,1000,"L-Th",5,5,1,1,1,1
1,"theory","dgp2",20,1000,"L-Ref",2,2,7,4,7,4
1,"theory","dgp2",20,1000,"L-Rlx",1,1,7,4,7,4
1,"theory","dgp2",20,1000,"L-Des",6,7,10.5,10.5,10.5,10.5
1,"theory","dgp2",20,1000,"A",10,10,4,7,4,7
1,"theory","dgp2",20,1000,"A-Th",11,11,9,9,9,9
1,"theory","dgp2",20,1000,"A-Ref",8,8,4,7,4,7
1,"theory","dgp2",20,1000,"A-Rlx",9,9,4,7,4,7
1,"theory","dgp2",20,1000,"A-Des",7,6,10.5,10.5,10.5,10.5
1,"theory","dgp2",20,1000,"ScL",4,4,2,2,2,2
1,"theory","dgp2",20,2000,"L",4,3,8,7,8,7
1,"theory","dgp2",20,2000,"L-Th",3,2,1,1,1,1
1,"theory","dgp2",20,2000,"L-Ref",2,4,8,7,8,7
1,"theory","dgp2",20,2000,"L-Rlx",1,1,8,7,8,7
1,"theory","dgp2",20,2000,"L-Des",6,7,10.5,10.5,10.5,10.5
1,"theory","dgp2",20,2000,"A",10,10,3,3,3,3
1,"theory","dgp2",20,2000,"A-Th",11,11,5,9,5,9
1,"theory","dgp2",20,2000,"A-Ref",8,8,3,3,3,3
1,"theory","dgp2",20,2000,"A-Rlx",9,9,3,3,3,3
1,"theory","dgp2",20,2000,"A-Des",7,6,10.5,10.5,10.5,10.5
1,"theory","dgp2",20,2000,"ScL",5,5,6,5,6,5
1,"theory","dgp2",25,100,"L",2,2,8,3,8,3
1,"theory","dgp2",25,100,"L-Th",5,9,1,5,1,7
1,"theory","dgp2",25,100,"L-Ref",4,4,8,3,8,3
1,"theory","dgp2",25,100,"L-Rlx",1,1,8,3,8,3
1,"theory","dgp2",25,100,"L-Des",11,11,10.5,10.5,10.5,5.5
1,"theory","dgp2",25,100,"A",8.5,5,4,7.5,4,9.5
1,"theory","dgp2",25,100,"A-Th",8.5,7,4,7.5,4,9.5
1,"theory","dgp2",25,100,"A-Ref",7,8,4,7.5,4,9.5
1,"theory","dgp2",25,100,"A-Rlx",6,6,4,7.5,4,9.5
1,"theory","dgp2",25,100,"A-Des",10,10,10.5,10.5,10.5,5.5
1,"theory","dgp2",25,100,"ScL",3,3,4,1,4,1
1,"theory","dgp2",25,200,"L",3,3,4,3,4,3
1,"theory","dgp2",25,200,"L-Th",5,5,2,5,2,5
1,"theory","dgp2",25,200,"L-Ref",2,2,4,3,4,3
1,"theory","dgp2",25,200,"L-Rlx",1,1,4,3,4,3
1,"theory","dgp2",25,200,"L-Des",7,7,10.5,10.5,10.5,6.5
1,"theory","dgp2",25,200,"A",10,9.5,7.5,7.5,7.5,9.5
1,"theory","dgp2",25,200,"A-Th",11,9.5,7.5,7.5,7.5,9.5
1,"theory","dgp2",25,200,"A-Ref",9,11,7.5,7.5,7.5,9.5
1,"theory","dgp2",25,200,"A-Rlx",8,8,7.5,7.5,7.5,9.5
1,"theory","dgp2",25,200,"A-Des",6,6,10.5,10.5,10.5,6.5
1,"theory","dgp2",25,200,"ScL",4,4,1,1,1,1
1,"theory","dgp2",25,300,"L",3,2,4,3,4,3
1,"theory","dgp2",25,300,"L-Th",5,7,1,5,1,5
1,"theory","dgp2",25,300,"L-Ref",2,3,4,3,4,3
1,"theory","dgp2",25,300,"L-Rlx",1,1,4,3,4,3
1,"theory","dgp2",25,300,"L-Des",7,6,10.5,10.5,10.5,6.5
1,"theory","dgp2",25,300,"A",10,10,7,7,7,9
1,"theory","dgp2",25,300,"A-Th",11,11,9,9,9,11
1,"theory","dgp2",25,300,"A-Ref",9,9,7,7,7,9
1,"theory","dgp2",25,300,"A-Rlx",8,8,7,7,7,9
1,"theory","dgp2",25,300,"A-Des",6,5,10.5,10.5,10.5,6.5
1,"theory","dgp2",25,300,"ScL",4,4,2,1,2,1
1,"theory","dgp2",25,500,"L",3,2,4,4,4,4
1,"theory","dgp2",25,500,"L-Th",5,5,1,1,1,1
1,"theory","dgp2",25,500,"L-Ref",2,3,4,4,4,4
1,"theory","dgp2",25,500,"L-Rlx",1,1,4,4,4,4
1,"theory","dgp2",25,500,"L-Des",6,6,10.5,10.5,10.5,6.5
1,"theory","dgp2",25,500,"A",10,10,7,7,7,9
1,"theory","dgp2",25,500,"A-Th",11,11,9,9,9,11
1,"theory","dgp2",25,500,"A-Ref",8,9,7,7,7,9
1,"theory","dgp2",25,500,"A-Rlx",9,8,7,7,7,9
1,"theory","dgp2",25,500,"A-Des",7,7,10.5,10.5,10.5,6.5
1,"theory","dgp2",25,500,"ScL",4,4,2,2,2,2
1,"theory","dgp2",25,1000,"L",3,2,7,4,7,4
1,"theory","dgp2",25,1000,"L-Th",4,5,1,1,1,1
1,"theory","dgp2",25,1000,"L-Ref",2,3,7,4,7,4
1,"theory","dgp2",25,1000,"L-Rlx",1,1,7,4,7,4
1,"theory","dgp2",25,1000,"L-Des",7,7,10.5,10.5,10.5,9.5
1,"theory","dgp2",25,1000,"A",10,10,3.5,7,3.5,7
1,"theory","dgp2",25,1000,"A-Th",11,11,9,9,9,11
1,"theory","dgp2",25,1000,"A-Ref",8,8,3.5,7,3.5,7
1,"theory","dgp2",25,1000,"A-Rlx",9,9,3.5,7,3.5,7
1,"theory","dgp2",25,1000,"A-Des",6,6,10.5,10.5,10.5,9.5
1,"theory","dgp2",25,1000,"ScL",5,4,3.5,2,3.5,2
1,"theory","dgp2",25,2000,"L",4,4,8,7,8,7
1,"theory","dgp2",25,2000,"L-Th",3,5,1,1,1,1
1,"theory","dgp2",25,2000,"L-Ref",2,2,8,7,8,7
1,"theory","dgp2",25,2000,"L-Rlx",1,1,8,7,8,7
1,"theory","dgp2",25,2000,"L-Des",7,7,10.5,10.5,10.5,10.5
1,"theory","dgp2",25,2000,"A",10,10,3,3,3,3
1,"theory","dgp2",25,2000,"A-Th",11,11,5,9,5,9
1,"theory","dgp2",25,2000,"A-Ref",8,8,3,3,3,3
1,"theory","dgp2",25,2000,"A-Rlx",9,9,3,3,3,3
1,"theory","dgp2",25,2000,"A-Des",6,6,10.5,10.5,10.5,10.5
1,"theory","dgp2",25,2000,"ScL",5,3,6,5,6,5
1,"theory","dgp2",30,100,"L",2,2,8,3,8,3
1,"theory","dgp2",30,100,"L-Th",5,9,2,5,2,7
1,"theory","dgp2",30,100,"L-Ref",4,4,8,3,8,3
1,"theory","dgp2",30,100,"L-Rlx",1,1,8,3,8,3
1,"theory","dgp2",30,100,"L-Des",11,11,10.5,10.5,10.5,5.5
1,"theory","dgp2",30,100,"A",6,6.5,4.5,7.5,4.5,9.5
1,"theory","dgp2",30,100,"A-Th",9,6.5,4.5,7.5,4.5,9.5
1,"theory","dgp2",30,100,"A-Ref",8,8,4.5,7.5,4.5,9.5
1,"theory","dgp2",30,100,"A-Rlx",7,5,4.5,7.5,4.5,9.5
1,"theory","dgp2",30,100,"A-Des",10,10,10.5,10.5,10.5,5.5
1,"theory","dgp2",30,100,"ScL",3,3,1,1,1,1
1,"theory","dgp2",30,200,"L",2,2,8,3,8,3
1,"theory","dgp2",30,200,"L-Th",5,5,2,5,2,5
1,"theory","dgp2",30,200,"L-Ref",3,4,8,3,8,3
1,"theory","dgp2",30,200,"L-Rlx",1,1,8,3,8,3
1,"theory","dgp2",30,200,"L-Des",11,11,10.5,10.5,10.5,6.5
1,"theory","dgp2",30,200,"A",8,8,4.5,7.5,4.5,9.5
1,"theory","dgp2",30,200,"A-Th",9,9,4.5,7.5,4.5,9.5
1,"theory","dgp2",30,200,"A-Ref",7,7,4.5,7.5,4.5,9.5
1,"theory","dgp2",30,200,"A-Rlx",6,6,4.5,7.5,4.5,9.5
1,"theory","dgp2",30,200,"A-Des",10,10,10.5,10.5,10.5,6.5
1,"theory","dgp2",30,200,"ScL",4,3,1,1,1,1
1,"theory","dgp2",30,300,"L",3,2,4,3,4,3
1,"theory","dgp2",30,300,"L-Th",5,5,1,5,1,5
1,"theory","dgp2",30,300,"L-Ref",2,3,4,3,4,3
1,"theory","dgp2",30,300,"L-Rlx",1,1,4,3,4,3
1,"theory","dgp2",30,300,"L-Des",7,7,10.5,10.5,10.5,6.5
1,"theory","dgp2",30,300,"A",10,10,7,7,7,9
1,"theory","dgp2",30,300,"A-Th",11,11,9,9,9,11
1,"theory","dgp2",30,300,"A-Ref",9,8,7,7,7,9
1,"theory","dgp2",30,300,"A-Rlx",8,9,7,7,7,9
1,"theory","dgp2",30,300,"A-Des",6,6,10.5,10.5,10.5,6.5
1,"theory","dgp2",30,300,"ScL",4,4,2,1,2,1
1,"theory","dgp2",30,500,"L",3,2,7,4,7,4
1,"theory","dgp2",30,500,"L-Th",5,5,1,1,1,1
1,"theory","dgp2",30,500,"L-Ref",2,4,7,4,7,4
1,"theory","dgp2",30,500,"L-Rlx",1,1,7,4,7,4
1,"theory","dgp2",30,500,"L-Des",7,7,10.5,10.5,10.5,9.5
1,"theory","dgp2",30,500,"A",10,10,4,7,4,7
1,"theory","dgp2",30,500,"A-Th",11,11,9,9,9,11
1,"theory","dgp2",30,500,"A-Ref",8,8,4,7,4,7
1,"theory","dgp2",30,500,"A-Rlx",9,9,4,7,4,7
1,"theory","dgp2",30,500,"A-Des",6,6,10.5,10.5,10.5,9.5
1,"theory","dgp2",30,500,"ScL",4,3,2,2,2,2
1,"theory","dgp2",30,1000,"L",3,2,8,4,8,4
