"snr","tuning","dgp","method","n_cells","avg_rank_frob","avg_rank_rmfe","avg_rank_hamming","avg_rank_F1","avg_rank_off_hamming","avg_rank_off_F1"
1,"theory","dgp2","A-Des",36,6.02777777777778,5.91666666666667,10.5,10.1944444444444,10.5,7.69444444444444
1,"theory","dgp2","ScL",36,4.27777777777778,4,2.66666666666667,2.22222222222222,2.66666666666667,2.22222222222222
1,"theory","dgp3","L",36,4,4.80555555555556,4.625,4.52777777777778,4.625,4.47222222222222
1,"theory","dgp3","L-Th",36,5.38888888888889,6.02777777777778,2.65277777777778,3.20833333333333,2.65277777777778,3.31944444444444
1,"theory","dgp3","L-Ref",36,1.69444444444444,1.5,4.625,4.52777777777778,4.625,4.47222222222222
1,"theory","dgp3","L-Rlx",36,1.63888888888889,1.75,4.625,4.52777777777778,4.625,4.47222222222222
1,"theory","dgp3","L-Des",36,5.52777777777778,4.61111111111111,10.5,8.05555555555556,10.5,7.88888888888889
1,"theory","dgp3","A",36,9.48611111111111,10.0555555555556,5.875,6.98611111111111,5.875,7.08333333333333
1,"theory","dgp3","A-Th",36,10.5138888888889,10.9444444444444,8.01388888888889,9.36111111111111,8.01388888888889,9.45833333333333
1,"theory","dgp3","A-Ref",36,8.30555555555556,7.38888888888889,5.875,6.98611111111111,5.875,7.08333333333333
1,"theory","dgp3","A-Rlx",36,8.5,8.80555555555556,5.875,6.98611111111111,5.875,7.08333333333333
1,"theory","dgp3","A-Des",36,4.97222222222222,4,10.5,8.05555555555556,10.5,7.88888888888889
1,"theory","dgp3","ScL",36,5.97222222222222,6.11111111111111,2.83333333333333,2.77777777777778,2.83333333333333,2.77777777777778
1,"cv","dgp1","L",36,6.55555555555556,6.11111111111111,8,8,8,8
1,"cv","dgp1","L-Th",36,5.27777777777778,5.27777777777778,1.625,1.625,1.625,1.625
1,"cv","dgp1","L-Ref",36,8.44444444444444,8.52777777777778,8,8,8,8
1,"cv","dgp1","L-Rlx",36,6.44444444444444,6.33333333333333,8,8,8,8
1,"cv","dgp1","L-Des",36,10.9722222222222,10.8888888888889,10.5,10.5,10.5,10.5
1,"cv","dgp1","A",36,2.77777777777778,2.66666666666667,3.75,3.75,3.75,3.75
1,"cv","dgp1","A-Th",36,2.22222222222222,2.83333333333333,2.68055555555556,2.68055555555556,2.68055555555556,2.68055555555556
1,"cv","dgp1","A-Ref",36,3.41666666666667,3.44444444444444,3.75,3.75,3.75,3.75
1,"cv","dgp1","A-Rlx",36,1.61111111111111,2.02777777777778,3.75,3.75,3.75,3.75
1,"cv","dgp1","A-Des",36,10.0277777777778,10.0555555555556,10.5,10.5,10.5,10.5
1,"cv","dgp1","ScL",36,8.25,7.83333333333333,5.44444444444444,5.44444444444444,5.44444444444444,5.44444444444444
1,"cv","dgp2","L",36,4.94444444444444,4.86111111111111,8,7.90277777777778,8,7.88888888888889
1,"cv","dgp2","L-Th",36,6.27777777777778,6.75,2.23611111111111,2.66666666666667,2.23611111111111,2.84722222222222
1,"cv","dgp2","L-Ref",36,8.52777777777778,8.41666666666667,8,7.90277777777778,8,7.88888888888889
1,"cv","dgp2","L-Rlx",36,5.69444444444444,5.75,8,7.90277777777778,8,7.88888888888889
1,"cv","dgp2","L-Des",36,10.75,10.3611111111111,10.5,10.5,10.5,10.5
1,"cv","dgp2","A",36,2.52777777777778,2.25,3.55555555555556,3.58333333333333,3.55555555555556,3.52777777777778
1,"cv","dgp2","A-Th",36,2.25,2.47222222222222,2.26388888888889,2.16666666666667,2.26388888888889,2.25
1,"cv","dgp2","A-Ref",36,4.55555555555556,4.58333333333333,3.55555555555556,3.58333333333333,3.55555555555556,3.52777777777778
1,"cv","dgp2","A-Rlx",36,2.27777777777778,2.80555555555556,3.55555555555556,3.58333333333333,3.55555555555556,3.52777777777778
1,"cv","dgp2","A-Des",36,9.91666666666667,9.80555555555556,10.5,10.5,10.5,10.5
1,"cv","dgp2","ScL",36,8.27777777777778,7.94444444444444,5.83333333333333,5.70833333333333,5.83333333333333,5.65277777777778
1,"cv","dgp3","L",36,4.55555555555556,4.38888888888889,8,7.75,8,7.75
1,"cv","dgp3","L-Th",36,4.11111111111111,5.58333333333333,2.45833333333333,2.83333333333333,2.45833333333333,2.91666666666667
1,"cv","dgp3","L-Ref",36,8,7.94444444444444,8,7.75,8,7.75
1,"cv","dgp3","L-Rlx",36,5.55555555555556,5.36111111111111,8,7.75,8,7.75
1,"cv","dgp3","L-Des",36,9.91666666666667,9.80555555555556,10.5,10.5,10.5,10.4722222222222
1,"cv","dgp3","A",36,2.79166666666667,2.77777777777778,3.98611111111111,4.02777777777778,3.98611111111111,3.98611111111111
1,"cv","dgp3","A-Th",36,2.48611111111111,2.94444444444444,2.65277777777778,2.65277777777778,2.65277777777778,2.66666666666667
1,"cv","dgp3","A-Ref",36,5.02777777777778,4.16666666666667,3.98611111111111,4.02777777777778,3.98611111111111,3.98611111111111
1,"cv","dgp3","A-Rlx",36,3.58333333333333,3.02777777777778,3.98611111111111,4.02777777777778,3.98611111111111,3.98611111111111
1,"cv","dgp3","A-Des",36,9.52777777777778,9.41666666666667,10.5,10.5,10.5,10.4722222222222
1,"cv","dgp3","ScL",36,10.4444444444444,10.5833333333333,3.93055555555556,4.18055555555556,3.93055555555556,4.26388888888889
2,"theory","dgp1","L",36,5.5,4.91666666666667,7.23611111111111,7.23611111111111,7.23611111111111,7.20833333333333
2,"theory","dgp1","L-Th",36,4.66666666666667,4.61111111111111,2.11111111111111,2.13888888888889,2.11111111111111,2.13888888888889
2,"theory","dgp1","L-Ref",36,2.11111111111111,2.41666666666667,7.23611111111111,7.23611111111111,7.23611111111111,7.20833333333333
2,"theory","dgp1","L-Rlx",36,2.11111111111111,2.33333333333333,7.23611111111111,7.23611111111111,7.23611111111111,7.20833333333333
2,"theory","dgp1","L-Des",36,7.27777777777778,7.38888888888889,10.5,10.5,10.5,10.4166666666667
2,"theory","dgp1","A",36,10.2222222222222,10.2222222222222,3.58333333333333,3.61111111111111,3.58333333333333,3.61111111111111
2,"theory","dgp1","A-Th",36,10.7777777777778,10.7777777777778,5.08333333333333,5.13888888888889,5.08333333333333,5.41666666666667
2,"theory","dgp1","A-Ref",36,3.72222222222222,4.19444444444444,3.58333333333333,3.61111111111111,3.58333333333333,3.61111111111111
2,"theory","dgp1","A-Rlx",36,8.66666666666667,8.30555555555556,3.58333333333333,3.61111111111111,3.58333333333333,3.61111111111111
2,"theory","dgp1","A-Des",36,7.05555555555556,7.22222222222222,10.5,10.5,10.5,10.4166666666667
2,"theory","dgp1","ScL",36,3.88888888888889,3.61111111111111,5.34722222222222,5.18055555555556,5.34722222222222,5.15277777777778
2,"theory","dgp2","L",36,5,4.63888888888889,3.80555555555556,3.48611111111111,3.80555555555556,3.43055555555556
2,"theory","dgp2","L-Th",36,5.5,5.75,1.95833333333333,2.16666666666667,1.95833333333333,2.19444444444444
2,"theory","dgp2","L-Ref",36,1.08333333333333,1.61111111111111,3.80555555555556,3.48611111111111,3.80555555555556,3.43055555555556
2,"theory","dgp2","L-Rlx",36,1.91666666666667,1.69444444444444,3.80555555555556,3.48611111111111,3.80555555555556,3.43055555555556
2,"theory","dgp2","L-Des",36,6.02777777777778,5.94444444444444,10.5,10.3611111111111,10.5,8.63888888888889
2,"theory","dgp2","A",36,9.91666666666667,9.875,5.93055555555556,6.23611111111111,5.93055555555556,7.06944444444444
2,"theory","dgp2","A-Th",36,10.8611111111111,10.875,7.91666666666667,8.15277777777778,7.91666666666667,9.43055555555556
2,"theory","dgp2","A-Ref",36,8.05555555555556,8.05555555555556,5.93055555555556,6.23611111111111,5.93055555555556,7.06944444444444
2,"theory","dgp2","A-Rlx",36,8.72222222222222,8.75,5.93055555555556,6.23611111111111,5.93055555555556,7.06944444444444
2,"theory","dgp2","A-Des",36,5.58333333333333,5.5,10.5,10.3611111111111,10.5,8.63888888888889
2,"theory","dgp2","ScL",36,3.33333333333333,3.30555555555556,5.91666666666667,5.79166666666667,5.91666666666667,5.59722222222222
2,"theory","dgp3","L",36,6.02777777777778,5.63888888888889,4.83333333333333,4.73611111111111,4.83333333333333,4.73611111111111
2,"theory","dgp3","L-Th",36,6.25,6.58333333333333,2.54166666666667,2.76388888888889,2.54166666666667,2.76388888888889
2,"theory","dgp3","L-Ref",36,1.27777777777778,1.19444444444444,4.83333333333333,4.73611111111111,4.83333333333333,4.73611111111111
2,"theory","dgp3","L-Rlx",36,2.16666666666667,2.13888888888889,4.83333333333333,4.73611111111111,4.83333333333333,4.73611111111111
2,"theory","dgp3","L-Des",36,4,4.19444444444444,10.5,8.63888888888889,10.5,8.52777777777778
2,"theory","dgp3","A",36,9.79166666666667,10.0694444444444,5.56944444444444,6.48611111111111,5.56944444444444,6.54166666666667
2,"theory","dgp3","A-Th",36,10.6805555555556,10.9305555555556,7.55555555555556,8.61111111111111,7.55555555555556,8.66666666666667
2,"theory","dgp3","A-Ref",36,7.41666666666667,6.69444444444444,5.56944444444444,6.48611111111111,5.56944444444444,6.54166666666667
2,"theory","dgp3","A-Rlx",36,8.55555555555556,8.86111111111111,5.56944444444444,6.48611111111111,5.56944444444444,6.54166666666667
2,"theory","dgp3","A-Des",36,3.88888888888889,3.75,10.5,8.63888888888889,10.5,8.52777777777778
2,"theory","dgp3","ScL",36,5.94444444444444,5.94444444444444,3.69444444444444,3.68055555555556,3.69444444444444,3.68055555555556
2,"cv","dgp1","L",36,7.11111111111111,6.63888888888889,8,8,8,8
2,"cv","dgp1","L-Th",36,5.61111111111111,5.66666666666667,2.16666666666667,2.16666666666667,2.16666666666667,2.16666666666667
2,"cv","dgp1","L-Ref",36,8.25,8.22222222222222,8,8,8,8
2,"cv","dgp1","L-Rlx",36,6.08333333333333,5.77777777777778,8,8,8,8
2,"cv","dgp1","L-Des",36,10.9722222222222,10.8611111111111,10.5,10.5,10.5,10.5
2,"cv","dgp1","A",36,3.09722222222222,2.83333333333333,3.55555555555556,3.55555555555556,3.55555555555556,3.55555555555556
2,"cv","dgp1","A-Th",36,2.56944444444444,2.77777777777778,2.47222222222222,2.47222222222222,2.47222222222222,2.47222222222222
2,"cv","dgp1","A-Ref",36,3.02777777777778,3.36111111111111,3.55555555555556,3.55555555555556,3.55555555555556,3.55555555555556
2,"cv","dgp1","A-Rlx",36,1.30555555555556,1.91666666666667,3.55555555555556,3.55555555555556,3.55555555555556,3.55555555555556
2,"cv","dgp1","A-Des",36,10.0277777777778,10.0833333333333,10.5,10.5,10.5,10.5
2,"cv","dgp1","ScL",36,7.94444444444444,7.86111111111111,5.69444444444444,5.69444444444444,5.69444444444444,5.69444444444444
2,"cv","dgp2","L",36,6.11111111111111,5.80555555555556,8,8,8,8
2,"cv","dgp2","L-Th",36,5.41666666666667,5.86111111111111,2.04166666666667,2,2.04166666666667,2.11111111111111
2,"cv","dgp2","L-Ref",36,8.66666666666667,8.69444444444444,8,8,8,8
2,"cv","dgp2","L-Rlx",36,6.22222222222222,6.44444444444444,8,8,8,8
2,"cv","dgp2","L-Des",36,10.8333333333333,10.5277777777778,10.5,10.5,10.5,10.5
2,"cv","dgp2","A",36,2.75,2.38888888888889,3.55555555555556,3.58333333333333,3.55555555555556,3.55555555555556
2,"cv","dgp2","A-Th",36,2.25,2.33333333333333,2.41666666666667,2.41666666666667,2.41666666666667,2.38888888888889
